'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-04-02','06:55','Dariaus ir Girëno Burbiðkiø sank.','BPC','Nutrenktas gyvûnas kelkraðtyje.','','Alvydas Biliûnas','Rastas negyvas (Barsukas) paimtas nuveþtas á BGKT L. Giros g-væ.','','2017-04-02','08:22'
2,'2017-04-02','07:55','Ukmergës St. Poliklinika.','Vaþiuojant pastebëta.','Trapo grotelës iðkilusios vaþ. dalyje prie stotelës.','','Alvydas Biliûnas','Grotelës ir korpusas iðvalytas grotelës ástatytos á vieta.','','2017-04-02','08:00'
3,'2017-04-02','08:07','Ukmergës 315C','Vaþiuojant pastebëta.','Vaþiuojamoje dalyje paukðtis negyvas.','','Alvydas Biliûnas','Paimtas nuveþtas á BGKT (varna)','','2017-04-02','08:22'
4,'2017-04-02','08:30','Geleþinio vilko tunelyje','Vaþiuojant pastebëta.','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','08:34'
5,'2017-04-02','09:25','Þaliøjø eþerø 20','BPC','Kelkraðtyje negyvas katinas.','','Alvydas Biliûnas','Nuvykus pagal adresà negyvo katino nerasta.','','2017-04-02','10:00'
6,'2017-04-02','09:30','Ðivickio 6','BPC','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,2m3)','','2017-04-02','10:12'
7,'2017-04-02','10:10','Verkiø Þirmûnø þiedas','BPC','Trapas prasëdæs vaþ. dalyje.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','LN trapas prasëdæs vaþ. dalyje. Iraðas þurnale LN tarnybai.','','2017-04-02','10:25'
8,'2017-04-02','10:15','Verkiø 34','BPC','Atviras ðulinys þaliojoje vejoje.','','Alvydas Biliûnas','Uþdengtas nauju G/B dangèiu. ðulinys LN.','','2017-04-02','10:45'
9,'2017-04-02','10:20','Kalvarijø 159','Patikrinta.','Vaþiuojamoje dalyje duobës.','Gatviø statyba. El. paðtas D. Baltruðaitienë.','Alvydas Biliûnas','Informacijà perduota.','','2017-04-02','10:25'
10,'2017-04-02','10:25','Kareiviø Verkiø sank.','Vaþiuojant pastebëta.','Duobë vaþ. dalyje.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,.1m3)','','2017-04-02','10:30'
11,'2017-04-02','10:30','Pergalës Dþiaugsmo þiedas','vaþiuojant pastebëta.','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','10:36'
12,'2017-04-02','10:30','Ðvarioji 28','','Patikrinta.','','Alvydas Biliûnas','Prie FK ðulinio ágriuva. Darbai neatlikti þenklas paliktas vietoje.','','2017-04-02','10:32'
13,'2017-04-02','10:50','Apkasø 32','','Patikrinta.','El. paðtas D. Baltruðaitienë  (Gatviø statyba)','Alvydas Biliûnas','Vaþiuojamoje dalyje duobës. Info perduota el. pðtas.','','2017-04-02','10:55'
14,'2017-04-02','10:50','Lukðio P. Verkiø sank.','','Patikrinta.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','LN trapas prasëdæs vaþ. dalyje reikalingas remontas. Iraðas þurnale LN tarnybai.','','2017-04-02','10:50'
15,'2017-04-02','10:50','Mileiðiðkiø 23','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,5m3)','','2017-04-02','11:20'
16,'2017-04-02','11:00','Kalvos 15','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,7m3)','','2017-04-02','11:50'
17,'2017-04-02','11:00','Þirmûnø 54C','Pastebëta vaþiuojant.','Trapas uþneðtas ðiukðlëmis vaþ. dalyje.','','Alvydas Biliûnas','Trapo grotelës iðvalytos grotelës ástatytos á vieta.','','2017-04-02','11:07'
18,'2017-04-02','11:20','Lukðio P. Þukausko 49','Vaþiuojant pastebëta.','Trapo grotelës iðkilusios vaþ. dalyje prieð stotelæ.','','Alvydas Biliûnas','Grotelës ir trapo korpusas iðvalytas grotelës ástatytos á vieta.','','2017-04-02','11:26'
19,'2017-04-02','11:30','Rudens 41','BPC','Vaþiuojamoje dalyje prie ðulinio prasëdimas.','Vandentiekio avarinë tel. 1889 disp. Alina.','Alvydas Biliûnas','Prasëdimas prie vandentiekio ðulinio. Info perduota.','','2017-04-02','12:05'
20,'2017-04-02','11:35','Kalvarijø 47','Vaþiuojant pastebëta.','Ðaligatvyje padanga.','','Alvydas Biliûnas','Paimta iðveþta (1vnt)','','2017-04-02','11:37'
21,'2017-04-02','12:15','Geleþinkelio','Vaþiuojant pastebëta.','Ðiukðlës vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','12:25'
22,'2017-04-02','12:20','Þaliøjø eþerø 30','BPC','Partrenktas gyvûnas ðalikelëje uþ Verkiø rûmø vaþiuojant.','','Alvydas Biliûnas','Nuvykus á vieta rastas ëþys.Nuveþtas á BGKT L. Giros g-væ.','','2017-04-02','18:10'
23,'2017-04-02','13:15','Ðeðkinës Sodø-1moji.','Vaþiuojant pastebëta.','Duþenos plastiko, stiklo vaþ. dalies.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','13:25'
24,'2017-04-02','16:35','Vileiðio P. 6F','BPC','Kieme negyvas katinas.','','Alvydas Biliûnas','Paimtas nuveþtas Á BGKT L. Giros g.','','2017-04-02','18:10'
25,'2017-04-02','17:10','Pilaitës pr. Emsi degalinë','','Uþ kolonëlës ties posukiu á Zujûnus negyvas gyvûnas.','','Alvydas Biliûnas','Paimtas ðeðkas nuveþtas á BGKT L. Giros g.','','2017-04-02','18:10'
26,'2017-04-02','17:20','Savanoriø','','Vaþiuojant uþ MAXIMA bazës ðoninëje juostoje negyvas gyvûnas.','','Alvydas Biliûnas','Buvo rasta katino gaiðena. Paimta nuveþta á BGKT  L. Giros g.','','2017-04-02','18:30'
27,'2017-04-02','17:40','Mildos 1','BPC','Ties ávaþiavimu á kiema ties "Exspres marketu" prie ðulinio ágriuva.','Vilniaus energija operatorius Ðerënas. tel.2653596','Alvydas Biliûnas','Ágriuva prie Vilniaus energijos ðilumos kameros. Pastatyta vert. gairë. Informacijà perduota,.','','2017-04-02','19:00'
28,'2017-04-02','18:20','Oslo St. Ðiltnamiø.','','Atviras ðulinys þaliojoje vejoje.','','Alvydas Biliûnas','Uþdengtas nauju G/B dangèiu.','','2017-04-02','19:00'
29,'2017-04-02','18:50','Skroblø 27','Policija','Duþenos po autoávikio.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','19:22'
30,'2017-04-02','19:05','Rudens 41','','Prie ðaligatvio ágriuva.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-04-02','19:12'
31,'2017-04-02','19:08','Laisvës  pr. St. Parodø','Vaþiuojant pastebëta.','Prie stotelës vaþiuojamoje dalyje buitinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-04-02','19:15'
32,'2017-04-02','19:20','Ieðmininkø','','Patikrinta.','','Alvydas Biliûnas','Avariniø duobiø nerasta vaþiuojamoje dalyje.','','2017-04-02','19:26'
33,'2017-04-02','20:00','Ðeðkinës 77','BPC','Kieme pilnas nuotekø ðulinys.','Nuotekø avarinë tel.1889','Alvydas Biliûnas','Informacijà perduota.','','','20:05'
34,'2017-04-02','20:30','Þukausko 18','BPC','Kieme negyvas katinas.','','Alvydas Biliûnas','Nuvykus pagal adresà negyvo katino nerasta.','','2017-04-02','21:30'
