'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-05-09','00:20','Ozo iðvaþiavimas á Geleþini vilko g. nuo Akropolio','BPC','Vaþ .dalyje stirnos gaiðena','','Aleksandras Popovas','Gyvûnai. Paimta iðveþta á BGST','','2017-05-09','00:40'
2,'2017-05-09','08:00','Suvalkø 10','V. Suveizdis','Iðlûþæ trapo grotelës vaþ. dalyje','','Aleksandras Popovas','Trapas atviras. LN trapo grotelës (50x38) pakeistos naujomis.','','2017-05-09','08:25'
3,'2017-05-09','08:30','Justiniðkiø 107','MS R. Jacunskas','Kiemo vaþ. dalyje  prie ðulinio ágriuva','VV av. disp. Antanui','Aleksandras Popovas','Kiti darbai. Ágriuva prie FN ðulinio buvo  uþpilta frezuotuotu asfaltu. Reikia asfaltuoti.  Info perduota ','','2017-05-09','09:25'
4,'2017-05-09','08:35','Architektø 107','Ið waze programos','Duobës vaþ. dalyje','','Aleksandras Popovas','Duobës. Avarinë duobë (1,0x0,6x0,06) uþtaisyta skaldos - smëlio miðiniu. Sunaudota po 0,018m3','','2017-05-09','08:40'
5,'2017-05-09','08:42','Kauno 17C','Ið waze ataskaitø','Duobë vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Duobiø nëra.','','2017-05-09','04:45'
6,'2017-05-09','08:47','Kauno 17','Pastebëta vaþiuojant','Prie trapo susikaupæs vanduo','Áraðas PNTET R. Zaborovskiui','Aleksandras Popovas','Kiti darbai. LN trapas uþneðtas - nepravalë. Info perduota ','','2017-05-09','08:50'
7,'2017-05-09','08:47','Kavoliuko A.P. 3','Ið waze ataskaitø','Duobës vaþ. dalyje ','','Aleksandras Popovas','Kiti darbai. Duobiø nëra - uþasfaltuotos.','','2017-05-09','08:48'
8,'2017-05-09','08:56','Ðopeno 1','Ið waze ataskaitø','','','Aleksandras Popovas','Kiti darbai. Duobiø nëra.','','2017-05-09','08:58'
9,'2017-05-09','08:57','Pilaitës pr. ties Virðuliðkiø sk.48','Ið waze ataskaitø','Duobës vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Dubës ne avarinës - iðtrupëjæs asfaltas.','','2017-05-09','09:01'
10,'2017-05-09','09:00','Kryþiokø sodø 9-oji g 66','MS D. Baltruðaitienë','Ágriuva prie ðulinio','UAB "ECOFON" el. paðtu (offic@ekofan. LT) ','Aleksandras Popovas','Kiti darbai. Ne nurodytoje sankryþoje, o ðiuo adresu. Suniokotas ryðio ðulinys ðalikelëje prie sklypo tvoros. Uþdengtas kabeliø medine rite.Info perduota ','','2017-05-09','10:35'
11,'2017-05-09','09:05','Pylimo 27','Ið waze','Duobë vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Neavarinis dangos ádubimas','','2017-05-09','09:06'
12,'2017-05-09','09:08','Pilaitës pr. 28','Ið waze ataskaitø ','Duobës vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Nëra avariniø.','','2017-05-09','09:09'
13,'2017-05-09','09:15','Maironio ties Uþupio g. 10','Ið waze ataskaitø','Duobës vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Nëra avariniø.','','2017-05-09','09:17'
14,'2017-05-09','09:30','Justiniðkiø sankr.','Ið waze ataskaitø','Duobës vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. ágriuva prie ðulinio - jaustovi gairë.','','2017-05-09','09:31'
15,'2017-05-09','09:35','Paco M. 13','Ið waze ataskaitø','Duobës vaþ. dalyje','Áraðas PNTET R. Zaborovskiui','Aleksandras Popovas','Kiti darbai. Duobiø nëra. Nusëdæs ir juda LN ðulinio korpusas. Info perduota ','','2017-05-09','09:37'
16,'2017-05-09','09:36','Rygos 43','Ið waze ataskaitø','Duobës vaþ. dalyje','','Aleksandras Popovas','Kiti darbai. Avariniø - nëra. ','','2017-05-09','09:37'
17,'2017-05-09','09:43','Talino 15A','Ið waze ataskaitø','Duobës vaþ. dalyje','','Aleksandras Popovas','Duobës. Avarinë duobë (0,7x0,5x0,06) uþtaisyta  skaldos - smëlio miðiniu. Sunaudota po 0,01m3','','2017-05-09','09:48'
