'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-05-27','01:28','Gerovës 5','BPC','Vaþiuojamoje gatvës dalyje teka vanduo ið ðulinio','VV avarinë 861611256','Darijuð Ceiko','Kiti darbai. Informacija perduota','','',''
2,'2017-05-27','06:49','Kazbëjø / Galvës g.','BPC','Negyva stirna gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','Gyvûnai. Stirnos lavonas perduotas Beglobiø gyvûnø karantino tarnybai (BGKT)','','2017-05-27','10:45'
3,'2017-05-27','06:49','Tiðkevièiaus / Galvës g.','BPC','Negyvas barsukas gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','Gyvûnai. Barsuko lavonas perduotas Beglobiø gyvûnø karantino tarnybai (BGKT)','','2017-05-27','10:45'
4,'2017-05-27','07:50','Tûkstantmeèio (nusileidimas á Savanoriø pr.)','VPK','Numuðtas laikinas kelio þenklas','','Darijuð Ceiko','Kiti darbai. Laikinas kelio þenklas atstatytas','','2017-05-27','08:13'
5,'2017-05-27','09:05','Ateities (po G. Vilko g. viaduku)','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobës. Duobë laikinai uþpilta skaldos/smëlio miðiniu (0,1 m³)','','',''
6,'2017-05-27','09:18','Mokslininkø','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu duobës suremontuotos.','','2017-05-27','09:21'
7,'2017-05-27','09:30','Þaliøjø eþerø','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','09:33'
8,'2017-05-27','09:40','Verkiø','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','09:43'
9,'2017-05-27','09:45','Geleþinio vilko (uþ tunelio, nuo centro)','','Negyvas gyvûnasvaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kliûtys. Tepaluotas skuduras vaþiuojamoje gatvës dalyje- paimta ir iðveþta','','2017-05-27','10:00'
10,'2017-05-27','09:47','Gvazikø sodø  1- oji  / Nemenèinës pl.','Andrius','stiklo duþenos vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kliûtys. Surinkta ir iðveþta, vieta iðvalyta','','2017-05-27','10:12'
11,'2017-05-27','09:50','Visoriø 27A','','Negyvas katinas vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Gyvûnai. Katino lavonas perduotas Beglobiø gyvûnø karantino tarnybai (BGKT)','','2017-05-27','10:45'
12,'2017-05-27','10:20','Karaèiûnø','WAZE ataskaita','Duobës vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytoje gatvëje duobës jau buvo uþpiltos. ','','2017-05-27','10:23'
13,'2017-05-27','10:30','Antaviliø / Nemenèinës pl.','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','10:33'
14,'2017-05-27','10:45','Dûkðtø 11','BPC','Atviras ðulinys þaliosios vejos zonoje','','Darijuð Ceiko','Ðulinys atviras. LN ðulinio dangtis nustumtas. Ðulinys uþdengtas tuo paèiu dangèiu.','','2017-05-27','11:05'
15,'2017-05-27','11:00','Virðilø 13','','Negyvas balandis vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Gyvûnai. Balandþio gaiðena perduota Beglobiø gyvûnø karantino tarnybai (BGKT)','','2017-05-27','15:35'
16,'2017-05-27','11:12','Talino 10','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobës. Duobë laikinai uþpilta skaldos/smëlio miðiniu (0,1 m³)','','',''
17,'2017-05-27','11:20','Pilaitës pr.','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','11:23'
18,'2017-05-27','11:35','Pamënkalnio 12','','Praneðë apie bËganèias putas á vandens surinkimo trapà','','Darijuð Ceiko','Kiti darbai. Patikrinta. Terðalø prie trapo nepastebëta, trapas ðvarus.','','2017-05-27','12:00'
19,'2017-05-27','12:00','Pamënkalnio 4','','Uþsikimðæs LN tinklø trapas vaþiuojamoje gatvës dalyje [pastebëta vaþiuojant]','Áraðas LN gamybinei tarnybai, R.Zabarovskis','Darijuð Ceiko','Kiti darbai. Informacija perduota','','',''
20,'2017-05-27','14:05','Metalo 23, 6','Raimondas','Atviri du ðuliniai vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Trapas atviras. Rasti atviri du LN tinklø trapai. Uþdengti naujomis plastmasinëmis grotelëmis (2 vnt. 50x38 cm)','','2017-05-27','14:35'
21,'2017-05-27','14:10','Geleþinio vilko 13','BPC','Medinis rastas gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','Kiti darbai. Nurodytu adresu kliûties gatvës vaþiuojamoje dalyje nerasta','','2017-05-27','14:27'
22,'2017-05-27','14:12','Dariaus ir Girëno / Prûsø g.','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','Áraðas LN gamybinei tarnybai, R.Zabarovskis','Darijuð Ceiko','Trapas atviras. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta. Rastas sulauþytas LN tinklø trapas. Trapas uþdengtas naujomis metalinëmis grotelëmis (50x38 cm). Trapas uþsimiðæs, reikalingas valymas.','','','00:00'
23,'2017-05-27','14:30','Linkmenø 15','BPC','Atviras ðulinys vaþiuojamoje gatvës dalyje, dangtis guli ðalia','','Darijuð Ceiko','Trapas atviras. Nurodytu adresu rasta sulauþytas LN tinklø trpas. Uþdengtas naujomis plastmasinëmis grotelëmis (50x38 cm)','','2017-05-27','14:45'
24,'2017-05-27','14:45','Architektø','WAZE ataskaita','Duobës vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','14:55'
25,'2017-05-27','14:50','Pilaitës pr. (prieðais saugumo departamentà)','BPC','Kliûtis gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','Kliûtys. Betoninio gaminio nuolauþa - paimta ir iðveþta','','2017-05-27','15:05'
26,'2017-05-27','15:12','Rygos 11A','WAZE ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','15:15'
27,'2017-05-27','15:40','Savanoriø 174','VPK','Vaþiuojamoje gatvës dalyje iðmëtytos kartoniniø dëþiø liekanos ir popieriaus skiautës','','Darijuð Ceiko','Kliûtys. Surinkta ir iðveþta, vieta iðvalyta','','2017-05-27','16:10'
28,'2017-05-27','16:30','Eiðiðkiø pl. 18','BPC','Kitoj gatvës pusëj atviras ðulinys þaliosios vejos zonoje','','Darijuð Ceiko','Ðulinys atviras. VV Vandentiekio tinklø ðulinio dangtis nustumtas. Ðulinys uþdengtas tuo paèiu dangèiu.','','2017-05-27','17:05'
29,'2017-05-27','17:10','Metalo 10','','Vaþiuojamoje gatvës dalyje iðbarstytos statybiniø plytø duþenos [pastebëta vaþiuojant]','','Darijuð Ceiko','Kliûtys. Surinkta ir iðveþta, vieta iðvalyta','','2017-05-27','17:17'
30,'2017-05-27','17:15','Dariaus ir Girëno 40','BPC','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. Patikrinta. Nurodytu adresu avariniø duobiø neaptikta.','','2017-05-27','17:30'
31,'2017-05-27','17:25','Geleþinio vilko 3','VPK','stiklo duþenos stovëjimo aikðtelëje','','Darijuð Ceiko','Kliûtys. Surinkta ir iðveþta, vieta iðvalyta','','2017-05-27','17:45'
32,'2017-05-27','19:30','Tako 15','','Bilda ðulinys vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Kiti darbai. VV Vandentiekio tinklø ðulinio korpusas nuvalytas nuo smëlio. Po ðulinio fiksavimo þiedu padëtos gumos tarpinës. Dangtis laikosi tvirtai.','','2017-05-27','20:25'
33,'2017-05-27','19:55','Pramonës 48','','Ágriuva prie ðulinio vaþiuojamoje gatvës dalyje','VV avarinë 861611256','Darijuð Ceiko','Vertikalios gairës. Ágriuva prie VV vandentiekio ðulinio vaþiuojamoje gatvës dalyje','','',''
34,'2017-05-27','20:30','Linksmoji (Rytø st.)','','Pastebëtas neuþasfaltuotas LN trapas. Pavogtos dvi vertikalios gairës. [pastebëta vaþiuojant]','Áraðas LN gamybinei tarnybai, R.Zabarovskis','Darijuð Ceiko','Vertikalios gairës. Pastatytos dvi naujos vertikalios gairës.','','',''
