'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-10-23',,'Lakûnø 16','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Duobë yra neavarinë.','','2017-10-23','14:10'
2,'2017-10-23',,'Savanoriø 174','el.paðtas Ðakalys','Prasëdæs LN ðulinio korpusas vaþ.dalyje,','LN tarnyba R.Zaborovskis 865021570 áraðas þurnale.','Rita Zarauskienë','Informacija perduota.','','',''
3,'2017-10-23','03:50','Gedimino pr. aikðtë','Ekipaþui apvaþiuojant','Betoniniø gëliniø ir suoliukø pastatymas ant ðaligatvio.','','Rita Zarauskienë','Gëlinës ir suoliukai pastatyti ant ðaligatvio.','','2017-10-23','04:20'
4,'2017-10-23','07:00','Èiurlionio M.K. 86 C','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-23','09:05'
5,'2017-10-23','07:02','Liepkalnio 39 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-23','10:53'
6,'2017-10-23','07:04','Saltoniðkiø 10 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Darbai atlikti.','','2017-10-23','09:11'
7,'2017-10-23','07:06','Iþdo 6','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Vyksta gatvës remonto darbai.','','2017-10-23','09:25'
8,'2017-10-23','07:06','Ðaltkalviø 26','WAZE','Duobë vaþ. dalyje.','','Rita Zarauskienë','Darbai atlikti.','','2017-10-23','10:42'
9,'2017-10-23','07:08','Pilaitës pr. 28','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-23','10:27'
10,'2017-10-23','07:10',' Sasnos 12    A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë- laikinai uþpilta frezuotu asfaltu (0,1 m³) .','Alsfalbetinis frezuotas (.1 M3)','2017-10-23','10:15'
11,'2017-10-23','07:12','Ukmergës 232','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Vyksta gatvës remonto darbai.','','2017-10-23','09:56'
12,'2017-10-23','07:14','Fabijoniðkiø 99','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Vyksta gatvës remonto darbai.','','2017-10-23','09:45'
13,'2017-10-23','07:16','Ateities 13 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Vyksta gatvës remonto darbai.','','2017-10-23','09:41'
14,'2017-10-23','07:20','Zujûnø g. ','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Duobë neavarinë.','','2017-10-23','10:11'
15,'2017-10-23','07:27','Konstitucijos pr. 9','el.paðtas Ðakalys','Ágriûva pesèiûjø promenadoje prie LN ðulinio.','LN tarnyba R.Zaborovskis 865021570   Áraðas þurnale.','Rita Zarauskienë','Informacija perduota.','','',''
16,'2017-10-23','07:45','Liepkalnio Salininkø þiedas prie degalinës','BPC','Atviras ðulinys vaþ.dalyje.','','Rita Zarauskienë','Ðulinys uþdengtas tuo paèiu dangèiu.','','2017-10-23','08:20'
17,'2017-10-23','08:00','Naugarduko 14','Vytautas','Negyvas katinas vaþ.dalyje.','','Rita Zarauskienë','2.2 Gyvûno gaiðena nerasta.','','2017-10-23','09:00'
18,'2017-10-23','08:00','Noragiðkiø','BPC','Duobës vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobës  laikinai uþpiltos  frezuotu asfaltu (0,2 m³).','Alsfalbetinis frezuotas (.2 M3)','2017-10-23','10:00'
19,'2017-10-23','08:02','Lukðio P. 58','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-23','14:05'
20,'2017-10-23','08:15','Þalgirio 87','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-23','13:47'
21,'2017-10-23','09:25','Turgeliø','Algis','Duobës vaþ.dalyje.','','Rita Zarauskienë','Duobës laikinai uþpiltos frezuotu asfaltu ( 0,2 m3 )','Alsfalbetinis frezuotas (.2 M3)','2017-10-23',''
22,'2017-10-23','09:50','Liepkalnio 59','BPC','Negyva katë vaþ.dalyje.','','Rita Zarauskienë','Gyvûno gaiðena perduota BGKT.','Pirðtinës vienkartinës (2 VNT)','2017-10-23','13:10'
23,'2017-10-23','10:05','Graièiûno 10','el.paðtas Ðakalys','Atviras ðulinys vaþ.dalyje.','','Rita Zarauskienë','Ðulinys uþdengtas tuo paèiu dangèiu.','','2017-10-23','12:00'
24,'2017-10-23','10:16','Perkûnkiemio 17','el.paðtas Suveizdis','Vandens bala perëjoje.','UAB "Leminnenkainen Lietuva"','Rita Zarauskienë','Patikrinta.Vyksta ðalia statybos.Informacija perduota.','','',''
25,'2017-10-23','10:50','Kovo-11os Grigiðkës 34','Gintautas','Pilnas LN ðulinys vandens','LN tarnyba R.Zaborovskis áðraðas þurnale.','Rita Zarauskienë','Informacija perduota.','','',''
26,'2017-10-23','11:37','Palangos 2','el.paðtas Ðakalys','Ágriûva prie ðulinio pesèiøjø perëjoj.','V.Kastunoviè,E.Jokubauskas.','Rita Zarauskienë','Stovi 2 tvorelës apjuosta STOP juosta.Ágriûva uþpilta smëliu. Informacija perduota.','','2017-10-23','11:37'
27,'2017-10-23','11:40','Þaliøjø eþerø 220','BPC','Negyvas ðuo vaþ.dalyje.','BGKT tarnyba 865257707','Rita Zarauskienë','Informacija perduota.','','',''
28,'2017-10-23','11:47','Kalvarijø 198-42','Sandra','Sudûþæs termomertas.','','Rita Zarauskienë','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2017-10-23','13:30'
29,'2017-10-23','12:02','Savièiaus 9','Pardavëja.','Uþstatyta parduotuvë su betonimëm gëlinëm.','','Rita Zarauskienë','Betoninës gëlinës patrauktos praëjimui nemaiðo.','','2017-10-23','12:30'
30,'2017-10-23','12:38','Grybo skg.','Jadvyga','Bilda ðulinio dangtis vaþ.dalyje.','LN tarnyba R.Zaborovskis 865021570 áraðas þurnale.','Rita Zarauskienë','Ðulinio dangtis patvarkytas. Informacija perduota.','','2017-10-23','14:00'
31,'2017-10-23','13:20','Krokuvos 17','Andrius','Smegduobë prie ðulinio. Vidinis kiemas.','LN tarnyba R.Zaborovskis 865021570','Rita Zarauskienë','Informacija perduota.','','2017-10-23','13:40'
32,'2017-10-23','13:50','Medeinos 13','BPC','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë- laikinai uþpilta frezuotu asfaltu (0,2 m³).','Alsfalbetinis frezuotas (.2 M3)','2017-10-23','15:00'
33,'2017-10-23','14:02','Verkiø 3','el.paðtas Ðakalys','Smegduobë asfaltodangoje ðalia daugiabuèio.','VV avarinë 861611256','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .Informacija perduota.','Alsfalbetinis frezuotas (.2 M3)','2017-10-23','14:35'
