'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-11-04','07:00','Ðeimyniðkiø 12','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Stotelëje asfalte ratais áspaustos proveþos.','','2017-11-04','09:04'
2,'2017-11-04','07:02','Kalvarijø 140 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-11-04','09:10'
3,'2017-11-04','07:04','Apkasø 12 D','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-11-04','09:12'
4,'2017-11-04','07:06','Kareiviø 6','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-11-04','09:20'
5,'2017-11-04','07:08','Lakûnø 16','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-11-04','09:35'
6,'2017-11-04','07:10','Þirmûnø 113 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Stotelëje "Valakampiø tiltas "asfalte ratais áspaustos proveþos.','','2017-11-04','09:25'
7,'2017-11-04','07:12','Daugëliðkio  18','WAZE','Duobës vaþ.dalyje.','','Rita Zarauskienë','Gruntinëje gatvës dangoje daug neavariniø duobiø.','','2017-11-04','09:45'
8,'2017-11-04','07:14','Basanavièiaus 1','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neseniai atliktas gatvës remontas.','','2017-11-04','08:40'
9,'2017-11-04','07:16','Savickio J. 7','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinë duobë.','','2017-11-04','08:55'
10,'2017-11-04','07:18','Verslo 25','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-11-04','10:32'
11,'2017-11-04','07:20','Liepkalnio 113 A','WAZE','Duobës vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-11-04','10:45'
