'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-12','00:05','Gedimino pr. 64','','Po minëjimo sausio 13-tosios sutvarkykti lauþavietæ prie Seimo rûmø nepriklausomybës aikðtëje.','','Alvydas Biliûnas','Lauþavietë prie Seimo rûmø nepriklausomybës aikðtëje sutvarkyta.Smëlis ir nesudegæ medienos gabalai surinkti ,iðveþti.Dirbo du(2) budintis ekipaþai su automaðinom MAN CBC-511 ir WKVL-835 ir penki (5) darbininkai.','','2017-01-12','01:00'
2,'2017-01-12','05:55','Konarskio S. 49','','Sutvarkyti lauþavietæ prie TV pastato.','',' ','Lauþavietë prie TV pastato po minëjimo sausio 13-osios sutvarkyta. Smëlis ir medienos nesudegæ gabalai surinkti, iðveþti. Dirbo du(2) budintis ekipaþai su automaðinom MAN CBC-511 ir W KVL-835 ir penki darbininkai.','','2017-01-12','06:45'
3,'2017-01-12','07:10','Sausio 13-tosios Prie TV bokðto','Aleksandras','Nuveþti  apsauginiø tvoreliø prie TV bokðto.','','Alvydas Biliûnas','Nuveþta tvoreliø  prie TV bokðto (10vnt)','','2017-01-12','08:25'
4,'2017-01-12','07:30','Didlaukio 64','El. paðtas T. Karpoviè','Prie ðulinio ágriuva ðaligatvyje.','Vandentiekio avarinë tel. 1889 Alina.','Alvydas Biliûnas','Nuvykus á vieta nustatyta, kad ágriuva prie FK ðulinio pastatyta tvorelë.','','2017-01-12','09:25'
5,'2017-01-12','07:45','Þirmûnø 60','BPC','Ið ðulinio teka vanduo.','Vandentiekio avarinë. tel. 1889 ','Alvydas Biliûnas','','','2017-01-12','07:48'
6,'2017-01-12','09:10','Didlaukio 64','vaþiuojant pastebëta','Ties ávaþiavimu á kiemà tepalas iðsiliejàs.','','Alvydas Biliûnas','Tepalas neutralizuotas sunaudota (2kg) sauso sorbento.','','2017-01-12','09:26'
7,'2017-01-12','09:15','Savanoriø 6-120','Þimavièius','Suduþo termometras.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-12','10:30'
8,'2017-01-12','09:30','Didlaukio Baltupio sank.','vaþiuojant pastebëta','Duþenos stiklo, plastiko vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-12','09:35'
9,'2017-01-12','09:38','Ateities 17','vaþiuojant pastebëta','Fanieros gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-12','09:42'
10,'2017-01-12','09:45','Laisvës  pr. 82','pastebëta vaþiuojant','Betono gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-12','12:48'
11,'2017-01-12','09:48','Laisvës  pr.','vaþiuojant pastebëta.','Maiðas su ðiukðlëmis vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-12','09:50'
12,'2017-01-12','09:50','Vytenio 13','BPC','Medþio ðaka ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-12','10:18'
13,'2017-01-12','10:00','Algirdo Geleþinkelio sank.','112','Prie ðaligatvio þaliojoje vejoje praviras ðulinys.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu.','','2017-01-12','10:40'
14,'2017-01-12','10:05','Dariaus ir Girëno 113A','BPC','vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0m,1m3)','','2017-01-12','10:58'
15,'2017-01-12','10:25','Naugarduko ðvitrigailos sank.','pastebëta vaþiuojant','Stiklo duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-12','10:28'
16,'2017-01-12','10:45','Dzûkø 83','vaþiuojant pastebëta','Vaþiuojamoje dalyje metalo gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-12','10:50'
17,'2017-01-12','11:00','Dariaus ir Girëno 107','pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0,1m3)','','2017-01-12','11:05'
18,'2017-01-12','11:05','Buivydiðkiø 13-74','Grendienë','Suduþo termometras','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-12','12:45'
19,'2017-01-12','11:10','Dariaus ir Girëno 185','vaþiuojant pastebëta','Duobë vaþ. dalyje,','','Alvydas Biliûnas','Uþpilta smëlio skaldios miðiniu (0,1m3)','','2017-01-05','11:12'
20,'2017-01-12','11:10','Dariaus ir Girëno 10','BPC','Þaliojoje vejoje atviras ðulinys.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu ðulinys "TEO"','','2017-01-12','11:50'
21,'2017-01-12','11:30','Ðv.Stepono 12','BPC','Atviras trapas vaþ. dalyje.','','Alvydas Biliûnas','Korpusas trapo iðvalytas grotelës ástatytos á vieta.','','2017-01-12','12:15'
22,'2017-01-12','11:55','Kauno 34','Policija','Ties ávaþiavimu á degalinæ "LUKOJL" kliûtis.','','Alvydas Biliûnas','Kliûtis paðalinta akmuo nustumtas á kelkraðtá.','','2017-01-12','12:15'
23,'2017-01-12','12:00','Dzûkø 83','pastebëta vaþiujant.','Nustumtas dangtis nuo ðulinio ðaligatvyje.','','Alvydas Biliûnas','Uþdëtas tuo paèiu dangèiu.','','2017-01-12','12:08'
24,'2017-01-12','12:00','Telðiø 7','vaþiuojant pastebëta','Padanga ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-12','12:02'
25,'2017-01-12','12:00','Savanoriø Konarskio sank.','Policija','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-12','12:40'
26,'2017-01-12','12:10','Antakalnio St. Ðilo.','BPC','Ið ðulinio prie namo teka vanduo.','Vandentiekio avarinë tel.1889 Alina','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-12','12:15'
27,'2017-01-12','12:32','Tramvajø','Policija','Gatvës pradþioje ið ðulinio teka nuotekos.','Vandentiekio avarinë tel.1889 Alina.','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-12','12:36'
28,'2017-01-12','12:40','Savanoriø 187','Policija','Autoávikis','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos.','','2017-01-12','13:25'
29,'2017-01-12','12:50','Taikos 111A','pastebëta vaþiuojant','Gabalai putø polistirolo vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-12','12:55'
30,'2017-01-12','12:50','Geleþinio vilko uþ kolonëlës "STATOJL"','Pastebëta vaþiuojant','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-12','12:52'
31,'2017-01-12','13:00','Savanoriø Riovoniø sank.','Policija','Ðakos gatvës vaþ. dalyje.','','Alvydas Biliûnas','Patrauktos ir sukrautos ant þalios vejos.','','2017-01-12','12:26'
32,'2017-01-12','13:20','Savanoriø 174','vaþiuojant pastebëta','Lentø nuolauþos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-05','13:27'
33,'2017-01-12','13:37','Vilkpëdës 6','pastebëta vaþiuojant','Padanga kelkraðtyjæ.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-12','13:40'
34,'2017-01-12','19:00','Vilniaus 9','vandentiekio avarinë','Darbai uþbaigti.','','Alvydas Biliûnas','Laikinas þenklas paimtas, iðveþtas.','','2017-01-05','19:50'
35,'2017-01-12','19:15','Oslo st. Ðiltnamiø.','BPC','Vaþiuiojant link stotelës statybinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-12','19:40'
36,'2017-01-12','19:30','Vaduvos 2A','BPC','Atviras ðulinys ðaligatvyje.','','Alvydas Biliûnas','Buvo rastas nustumtas dangtis matomai nuo valymo ðaligatvio korpusas iðvalytas dangtis ástatytas á vieta.','','2017-01-12','20:05'
37,'2017-01-12','19:30','Þirmûnø st. Minties.','BPC','Atviras ðulinys þaliojoje vejoje prie stotelës.','','Alvydas Biliûnas','Uþdengtas tuo paèiu dangèiu.','','2017-01-12','20:00'
38,'2017-01-12','19:45','Gariûnø Kalonëlë "Statojl"','vaþiuojant pastebëta.','Vaþiuojamoje dalyje padanga.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-12','19:46'
39,'2017-01-12','19:50','Dubliðkiø 9','vaþiuojant pastebëta.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0,1m3)','','2017-01-12','19:53'
40,'2017-01-12','20:00','Titnago 14','vaþiuojant pastebëta','Prie troleibusø þiedo vaþ. dalyje lentos gabalas iðkritæs.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-05','20:00'
41,'2017-01-12','20:00','Þirmûnø 87','vaþiuojant pastebëta.','Medþio droþliø plokðtës gabalai vaþ. dalyje.','','Alvydas Biliûnas','Gabalai surinkti, iðveþti.','','2017-01-12','20:15'
42,'2017-01-12','20:05','Savanoriø 176','Policija','Vaþiuojamoje dalyje iðkeltos trapo grotelës.','','Alvydas Biliûnas','Korpusas groteliø iðvalytas grotelës ástatytos á vieta.','','2017-01-12','20:22'
43,'2017-01-12','20:10','Þirmûnø 98','','Prie ðiukðliø konteineriø atviras ðulinys','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu.','','2017-01-12','20:35'
44,'2017-01-12','20:40','Þirmûnø 121','vaþiuojant pastebëta','Vaþiuojamoje dalyje buitinës ðiukðlës.','','Alvydas Biliûnas','Ðiukðlës surinktos, iðveþtos.','','2017-01-12','20:46'
