'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-08-02','01:19','Ukmergës','VPK','Betono gabalai vaþ dalyje','','Konstantin Skaiva','Nurodytu adresu betono gabalu nepastebëta,','','2017-08-02','01:36'
2,'2017-08-02','07:25','Smetonos 5','','Prasëdusios plytelës ant ðaligatvio. Laikinøjø þenklø patikrinimas.','','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas. Plytelës atstatytos. Sunaudota 0,1m3 smëlio.','S.S.Smëlis fr.0/5 (.1 M3)','2017-08-02','10:13'
3,'2017-08-02','08:39','Vivulskio 43','Juozas, VPK','Ágriuva VPK teritorijoje.','LN, Zabarovskis 865021570, VV 861611256','Konstantin Skaiva','4.4 Ágriuva susiformavusi dël poþeminiø komunikacijø gedimo, tarp LN trapo ir FN ðulinio. Informacija perduota atsakingiems asmenims, teritorija jau buvo aptverta. VV informavo kad tinklai jiems nepriduoti.','','',''
4,'2017-08-02','09:35','Ðevèenkos 16K','WAZE','Avarinë duobë vaþ dalyje.','','Konstantin Skaiva','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-08-02','09:55'
5,'2017-08-02','10:00','Geleþinio vilko 17','WAZE','Avarinë duobë vaþ dalyje.','','Konstantin Skaiva','Nurodytu adresu avariniø duobiø nepastebëta.','','2017-08-02','10:30'
6,'2017-08-02','10:19','Ðeðkinës 63','BPC','Po automobiliu BMW (EGP842) tepalø bala.','','Konstantin Skaiva','Tepalai iðvalyti. Sunaudota 5 kg. sauso sorbento.','Absorbentas birus universalus UEDX020 (5 KG)','2017-08-02','12:36'
7,'2017-08-02','10:23','Tiðkevièiaus','BPC','Tepalø bala automobiliø stovëjimo aikðtelëje.','','Konstantin Skaiva','Tepalai iðvalyti. Sunaudota 20 kg. sauso sorbento.','Absorbentas birus universalus UEDX020 (20 KG)','2017-08-02','11:48'
8,'2017-08-02','10:26','Þirniø 200m. iki sankryþos','VPK','Iðbarstytas betonas vaþ. dalyje','','Konstantin Skaiva','12.4 Avarinës vietos sutvarkymas. Betonas iðvalytas.','','2017-08-02','10:46'
9,'2017-08-02','10:50','Prûsø 30','','Laikinøjø þenklø patikrinimas. ','','Konstantin Skaiva','12.2 Laikinøjø þenklø patikrinimas Darbai atlikti. Þenklas paimtas.','','2017-08-02','10:55'
10,'2017-08-02','11:15','Filaretø 3','BPC ','Tepalø bala prie ðiukðliø konteineriø. ','','Konstantin Skaiva','Tepalai iðvalyti. Sunaudota 10kg. sauso sorbento.','Absorbentas birus universalus UEDX020 (10 KG)','2017-08-02','13:08'
11,'2017-08-02','11:30','Þarijø','VPK','Kliûtis vaþ. dalyje.','','Konstantin Skaiva','10.2 Surinkta ir iðveþta, vieta iðvalyta. Statybinë skalda.','','2017-08-02','12:06'
12,'2017-08-02','13:00','Parko 15A','Peterþikas','Avarinës duobës ávaþiavime á kiemà.\x0d\x0aIðplauti laiptai.','','Konstantin Skaiva','4.3 Dvi duobës laikinai uþpiltos frezuotu asfaltu (0,1 m³) (90x70x80cm, 80x60*70cm); Iðplautos plytelës prie laiptø, bet avarinës situacijos nëra.','','2017-08-02','15:28'
13,'2017-08-02','13:01','Latviø 13','pirkienë','Uþsikimðæs LN trapas prie namo.','','Konstantin Skaiva','Trapai ðvarus.','','2017-08-02','16:08'
14,'2017-08-02','13:02','Geniø 5','Jakubienienë','Ágriuva kieme.','','Konstantin Skaiva','Stovi tvorelë. LN ðulinys. Pakartotinai perduota.','','2017-08-02','14:59'
15,'2017-08-02','13:03','Gerovës 17','','Kruva frezuoto asfalto prie borto. Paliktas laikinasis kelio þenklas.','','Konstantin Skaiva','Asfaltas ir gairë paimti ir iðveþti.','','2017-08-02','14:21'
16,'2017-08-02','13:04','Rinktinës 51-72','Regina','Termometras.','','Konstantin Skaiva','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2017-08-02','15:54'
17,'2017-08-02','13:10','Varpø','','Pilni FN ðuliniai.','VV 861611256','Konstantin Skaiva','Informacija perduota.','','',''
