'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-17',,'Andre T. vokë','','Patikrinta: darbai atlikti.','','Alvydas Biliûnas','Laikinas þenklas paimtas, iðveþtas.','','2017-02-17','17:40'
2,'2017-02-17','06:50','Rûdninkø 18','BPC','Duþenos gatvëje ir vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','07:30'
3,'2017-02-17','07:28','Pylimo 56','pastebëta vaþiuojant','Plastikinë taros dëþë sulauþyta ðaligatvyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-17','07:30'
4,'2017-02-17','07:36','Visø Ðventøjø 9','pastebëta vaþiuojant','Duþenos stiklo.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17',''
5,'2017-02-17','07:42','Pelesos 3','pastebëta vaþiuojant','Trapo grotelës iðkilusios vaþiuojamoje dalyje.','','Alvydas Biliûnas','Groteliø korpusas iðvalytas grotelës ástatytos á vieta.','','2017-02-17','07:46'
6,'2017-02-17','07:50','Paneriø 45','pastebëta vaþiuojant','Statybinës ðiukðlës vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','07:55'
7,'2017-02-17','08:50','Dariaus ir Girëno Po viaduku','BPC','Vaþiuojamoje dalyje statybinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','09:10'
8,'2017-02-17','09:00','Liepkalnio 105','112','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,1m3)','','2017-02-17','09:20'
9,'2017-02-17','09:15','Liepkalnio 75','pastebëta vaþiuojant.','Ðaligatvyje padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-17','09:16'
10,'2017-02-17','09:23','Guriø 51','pastebëta vaþiuojant.','Statybinio blokelio duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','09:30'
11,'2017-02-17','09:23','Minsko pl. 11','vaþiuojant pastebëta.','Duobë vaþ. dalyje.','','Alvydas Biliûnas','Uþpilta frezuo asfaltu (0,05m3)','','2017-02-17','09:25'
12,'2017-02-17','09:32','Guriø 51','pastebëta','Þaliojoje vejoje atviras ðulinys.','','Alvydas Biliûnas','Ðulinys LN uþdëtas nauju G/B dangèiu.','','2017-02-17','09:36'
13,'2017-02-17','09:35','Parko 22','Policija','vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,1m3)','','2017-02-17','10:10'
14,'2017-02-17','09:40','Dþiaugsmo 83','vaþiuojant pastebëta.','Duslintuvo dalis ant vaþiuojamos dalies','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-17','09:43'
15,'2017-02-17','09:50','Petrulio g. 8','Pastebëta.','Þaliojoje vejoje atviras ðulinys.','','Alvydas Biliûnas','Ðulinys LN uþdengtas tuo paèiu G/B dangèiu kuris gulëjo ðalia.','','2017-02-17','09:53'
16,'2017-02-17','09:55','Gerosios vilties 18','BPC','Ið ðulinio teka vanduo.','Vandentiekio avarinë tel. 1889 ','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-17','10:00'
17,'2017-02-17','10:00','Parko 13','Patikrinta.','Darbai atlikti.','','Alvydas Biliûnas','Laikinas þenklas paimtas, iðveþtas.','','2017-02-17','10:00'
18,'2017-02-17','10:15','Gerovës 29','Pastebëta.','Vaþiuojamoje dalyje sulûþæs LN trapas.','','Alvydas Biliûnas','Pakeistas nauju metaliniu trapu.','','2017-02-17','10:15'
19,'2017-02-17','10:15','Þirmûnø 139A','BPC','Vaþiuojamoje dalyje trapas iðkilæs.','','Alvydas Biliûnas','Trapo korpusas ir grotelës iðvalytos. Grotelës ástatytos á vieta.','','2017-02-17','10:35'
20,'2017-02-17','10:25','Sukilëliø 9A','BPC','Vaþiuojant link St. (Balstogës) Ðiukðlës duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','10:55'
21,'2017-02-17','10:28','Kojelavièiaus A.V. 1A','pastebëta vaþiuojant.','Prie stotelës (Girininkija) padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-17','10:30'
22,'2017-02-17','10:30','Dariaus ir Girëno St."Kirtimø"','BPC. vairuotojas autobuso.','Duobës vaþiuojamoje dalyje prie stotelës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-17','11:05'
23,'2017-02-17','10:40','Dzûkø 1','Policija','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','11:18'
24,'2017-02-17','10:45','Þirmûnø 24','Pastebëta.','Á vaþiuojamajà dalá ðiukðliø konteineris iðstumtas.','','Alvydas Biliûnas','Konteineris patrauktas nuo vaþ. dalies.','','2017-02-17','10:47'
25,'2017-02-17','10:45','Liejyklos 86','Pastebëta vaþiuojant.','Metalo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-17','10:46'
26,'2017-02-17','10:50','Tûkstantmeèio','pastebëta vaþiuojant.','Vaþiuojant link  Liepkalnio sank.padanga kelkraðtyje.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-02-17','10:52'
27,'2017-02-17','10:50','Dobkevièiaus J. 6A','BPC','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Duþenos stiklo , plastiko, surinktos, iðveþtos.','','2017-02-17','11:22'
28,'2017-02-17','11:20','Ateities 31','Vandentikio avarinë disp. Urbonienë','Praneðë, kad uþsikimðæ  LN ðuliniai.','LN tarnyba R. Zabarovskis','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-17','11:30'
29,'2017-02-17','13:00','Ðv.Ignoto 5','J. Donec','Suduþo termometras','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-17','13:50'
30,'2017-02-17','13:50','Pelesos 69','Policija','Ðiukðliø konteineris apverstas á gatvës vaþiuojamaja dalá','','Alvydas Biliûnas','Ðiulðlës sukrautos atgal á konteinerá konteineris pastatytas á vieta.','','2017-02-17','14:20'
31,'2017-02-17','14:05','Raugyklos 15','Pastebëta vaþiuojant','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','14:02'
32,'2017-02-17','14:25','Dzûkø 62','Pastebëta.','Vaþiuojamoje dalyje sulauþytas plastikinis trapas.','','Alvydas Biliûnas','Pakeistas nauju plastikiniu trapu.','','2017-02-17','14:30'
33,'2017-02-17','17:00','Gariûnø','BPC','Pravaþiavus kalonëlæ "Petrolium" lentø atraiþos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Lentø atraiþos surinktos, iðveþtos.','','2017-02-17','17:25'
34,'2017-02-17','17:25','Kovo-11os Grigiðkës 53','BPC','Vaþiuojamoje dalyje trapo grotelës sulûþusios.','','Alvydas Biliûnas','Pakeistos naujomis plastikinëmis grotelëmis.','','2017-02-17','18:00'
35,'2017-02-17','17:30','Ðviesos  Grigiðkës 18','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniyu (0,2m3)','','2017-02-17','18:15'
36,'2017-02-17','17:33','Galvës St. (Stasylø)','Pastebëta vaþiuojant','Padanga prie stotelës.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-17','17:35'
37,'2017-02-17','17:40','Ásrûties 23-64','Balsevièius','Suduþob termometras','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-17','19:30'
38,'2017-02-17','17:50','Vilniaus','G. Niaura','Vilniaus gatvëje kur vyksta remontas gatvës nukabinti þalios spalvos lentelias su uþraðu (Vygdomi remomto darbai)','','Alvydas Biliûnas','Lentelës nukabintos (4vnt) ir atveþtos á UAB"Grida" sandelá.','','2017-02-17','19:05'
39,'2017-02-17','18:02','Vilniaus (Grigiðkës) 43','vaþiuojant pastebëta','Medþio ðaka ant vaþiuojamos dalies.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-17','18:05'
40,'2017-02-17','19:10','Savanoriø pr.','BPC','Vaþiuojamoje dalyje prie "NESTE" kalonëlës duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-17','19:32'
41,'2017-02-17','19:20','Pusjë Þ. Tarandë','Gamtos apsauga','Negyva stirna.','','Alvydas Biliûnas','Paimta nuveþta á BGKT L. Giros g.131','','2017-02-17','20:05'
