'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-10-15',,'','','','','Rita Zarauskienë','','','',''
2,'2017-10-15','04:00','Gedimino pr. aikðtë','Budinèio ekipaþo apvaþiavimas.','Betoniniø gëliniø ir suolø apribojanèiø transporto eismàpastatymas ant ðaligatvio.','','Rita Zarauskienë','Betoninës gëlinës ir suolai pastatyti ant ðaligatvio.','','2017-10-15','04:30'
3,'2017-10-15','07:00','Apkasø 23','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .','','2017-10-15','10:38'
4,'2017-10-15','07:02','Kareiviø 2 C','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-15','10:27'
5,'2017-10-15','07:04','Vilkpëdës 20 C','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Defektø nerasta,neseniai uþasfaltuota vieta.','','2017-10-15','09:07'
6,'2017-10-15','07:06','Talkos sodø 2-oji g. 20','WAZE','Duobë vaþ.dalyjje.','','Rita Zarauskienë','Neavarinë duobë.','','2017-10-15','10:14'
7,'2017-10-15','07:08','Þirmûnø 147','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Daug neavariniø duobiø.','','2017-10-15','10:25'
8,'2017-10-15','07:10','Sapiegos 21','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Prie ðulinio iðtrupëjæs asfaltas.Uþpilta frezuotu asfaltu ( 0,01 m3 ).','','2017-10-15','09:50'
9,'2017-10-15','07:12','Mileiðiðkiø','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Neavarinës duobës.','','2017-10-15','10:00'
10,'2017-10-15','07:20','Rieðë 3','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.Reikia asfaltuoti karðtu safaltu.','','2017-10-15','09:03'
11,'2017-10-15','07:22',' Bireliø Sodø  4-oji 1','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .','','2017-10-15','09:28'
12,'2017-10-15','07:26',' Pagubës Sodø 31-oji 4','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,15 m³) .','','2017-10-15','09:37'
13,'2017-10-15','07:30','Gabijos 41','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³).','','2017-10-15','08:43'
14,'2017-10-15','07:32','Smëlio ','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-15','08:31'
15,'2017-10-15','07:35','Ukmergës 202','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Paruoðta asfaltavimui gatvës dalis.','','2017-10-15','14:29'
16,'2017-10-15','07:40','Ukmergës 186 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Duobës neavarinës.','','2017-10-15','13:12'
17,'2017-10-15','08:00','Moksleiviø 18','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³) .','','2017-10-15','14:18'
18,'2017-10-15','08:02','Noragiðkiø 2','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobës  laikinai uþpiltos frezuotu asfaltu (0,2 m³) .','','2017-10-15','15:21'
19,'2017-10-15','08:15','Iþdo 10','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobës laikinai uþpiltos frezuotu asfaltu (0,3m³) .','','2017-10-15','15:10'
20,'2017-10-15','08:25',' Bajorø Sodø 2-oji 23','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-15','14:39'
21,'2017-10-15','09:00','Gedimino kalnas','Ekipaþui apvaþiuojant','Saugumo uþtikrinimas Gedimino kalno papëdëje.','','Rita Zarauskienë','Patikrintos sustatytos tvorelës,kurios uþtikrina sugumà Gedimino kalno papëdëje.','','2017-10-15','09:30'
22,'2017-10-15','10:30','Þirmûnø 68','BPC','Duobës ávaþiavime á kiemà.','','Rita Zarauskienë','Vyksta remonto darbai,darbus atlieka "Fegda".Gairës pakeltos ir atstatytos á savo vietas.','','2017-10-15','11:05'
23,'2017-10-15','13:20','Konarskio S. 8','Ekipaþui pravaþiuojant','Uþneðtas trapas lapais.','','Rita Zarauskienë','Nuvalytos trapo grotelës.','','2017-10-15','13:25'
24,'2017-10-15','13:30','Pietario V. 4-18','Liucija Kaèinskienë','Sudûþæs termometras.','','Rita Zarauskienë','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2017-10-15','14:00'
25,'2017-10-15','13:34','Naugarduko 55 A','Ekipaþui pravaþiuojant','Stiklo ddûþenos.','','Rita Zarauskienë','Stiklo dûþenos surinktos ir iðveþtos.','','2017-10-15','13:40'
26,'2017-10-15','14:00','Vokieèiø 9','Ekipaþui apvaþiuojant','Þenklø patikrinimas.','V.Kastunoviè,E.Jokubauskas.','Rita Zarauskienë','Darbai neatlikti,gairë palikta stovëti.Informacija perduota.','','2017-10-15','14:25'
27,'2017-10-15','14:01','Kareiviø 14','Ekipaþui apvaþiuojant.','Atviras LN ðulinys.','LN tarnyba R.Zaborovskis 865021570 áraðas þurnale.','Rita Zarauskienë','Darbai neatlikti.Stovi tvorelë.Informacija perduota.','','2017-10-15','14:50'
28,'2017-10-15','14:10','Þadeikos sankryþa','Ekipaþui apvaþiuojant.','Po auto ávykio sulauþyti atitvarai.','','Rita Zarauskienë','darbai neatlikti.Stovi gairë.','','2017-10-15','15:10'
29,'2017-10-15','14:13','Ukmergës 233','Ekipaþui pravaþiuojant','Duslintuvo dalis.','','Rita Zarauskienë','Paimta duslintuvo dalis ir iðveþta.','','2017-10-15','14:15'
30,'2017-10-15','14:18','Ukmergës 248','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,01 m³) .','','2017-10-15','14:24'
31,'2017-10-15','14:32','Ozo 39 A','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Duobë neavarinë.','','2017-10-15','14:35'
32,'2017-10-15','14:35','Gerovës 37','Avdeviè','Ið ðulinio bëga vanduo.','VV avarinë 861611256','Rita Zarauskienë','Informacija perduota.','','',''
33,'2017-10-15','14:47','Tuskulënø 41','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë avarinë laikinai uþpilta frezuotu asfaltu (0,01 m³).','','2017-10-15','14:50'
34,'2017-10-15','15:00','Gariûnø 68','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','Reikalingi greideriavimo darbai,þvyrkelis.','','2017-10-15','17:27'
35,'2017-10-15','15:01','Neskuèiø 2','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobës laikinai uþpiltos  frezuotu asfaltu (0,1 m³) .','','2017-10-15','17:34'
36,'2017-10-15','15:05','Joèioniø 26','WAZE','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë- laikinai uþpilta frezuotu asfaltu (0,1 m³) .','','2017-10-15','17:39'
37,'2017-10-15','15:10','Savanoriø 31','Ekipaþui pravaþiuojant.','Tepalai maðinø aikðtelëje.','','Rita Zarauskienë','Maðinø stovëjimo aikðtelëje nuvalytas tepalas panaudojant sauso serbento (5kg.0','Absorbentas birus universalus UEDX020 (5 KG)','2017-10-15','15:20'
38,'2017-10-15','15:10','Mokslininkø 13','Ekipaþui pravaþiuojant.','Duobës vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,3 m³) .','','2017-10-15','15:30'
39,'2017-10-15','15:30',' Mokslininkø stotelë','Ekipaþui pravaþiuojant','Duobë sustojime.','','Rita Zarauskienë','4.3 Duobë- laikinai uþpilta frezuotu asfaltu (0,2 m³) .','','2017-10-15','15:40'
40,'2017-10-15','16:23','Nemenèinës pl. uþ antaviliø','VV avarinë dispeèeris Aurimas','Uþsikimðæs LN trapas.','LN tarnyba R.Zaborovskis áraðas þurnale.','Rita Zarauskienë','12.1 Informacija perduota.','','2017-10-15','16:25'
41,'2017-10-15','16:50','Lentvario 33','Aplinkosauga','Negyva gulbë.','','Rita Zarauskienë','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','','2017-10-15','17:35'
42,'2017-10-15','17:35','Mokslininkø nuo Bukiðkiø link Visoriø','BPC','Duobë sustojime.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .','','2017-10-15','18:00'
43,'2017-10-15','18:02','Ðaulio 65','Ekipaþui apvaþiuojant','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .','','2017-10-15','18:07'
44,'2017-10-15','18:07','Mokslininkø 2 A','Ekipaþui pravaþiuojant','Medþio ðaka vaþ.dalyje.','','Rita Zarauskienë','6.2 Medþio ðaka patraukta nuo vaþiuojamosios gatvës dalies ir iðveþta.','','2017-10-15','18:12'
45,'2017-10-15','18:10','Baldþio sankryþa','BPC','Pasviræs kelio þenklas vaþ.dalyje.Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,2 m³) .Þenklai atstatyti ,pravaþiavimui nebemaiðo.','','2017-10-15','18:50'
46,'2017-10-15','20:15','Verkiø 105','BPC','Negyvas katinas vaþ.dalyje.','','Rita Zarauskienë','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Maiðas ðiuklëms 0,035x700x1145 raudonas "Darom" (1 VNT), Pirðtinës vienkartinës (2 VNT)','2017-10-15','21:00'
47,'2017-10-15','20:20',' Po Pedagoginiu þiedu','Policija','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,1m³) .','','2017-10-15','20:40'
48,'2017-10-15','21:10','Gabijos prie "Ðvaros broliai "','Dominykas','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë- laikinai uþpilta frezuotu asfaltu (0,1m³) .','','2017-10-15','21:40'
49,'2017-10-15','21:40','Gabijos 8','Ekipaþui pravaþiuojant','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³) .','','2017-10-15','21:45'
50,'2017-10-15','21:45','Gabijos 1','Ekipaþui pravaþiuojant.','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,1m³).','','2017-10-15','21:50'
