'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-02-25','03:40','Gedimino pr.','','Transporto eismo atidarymas','','Darijuð Ceiko','Transporto eismas atidarytas','','2018-02-25','04:10'
2,'2018-02-25','07:50','Juodasis kelias (link geleþinkelio)','Aplinkosauga','Negyva stirna gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës nitrilinës (100vnt) (4 VNT), Maiðai ðiukðlems  (1 VNT)','2018-02-25','10:00'
3,'2018-02-25','09:25','Virðupio','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-02-25','09:30'
4,'2018-02-25','09:40','Rokantiðkiø','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobës (viso: 2 vnt.) laikinai uþpiltos frezuotu asfaltu (viso: 0,2 m³)','Alsfalbetinis frezuotas (.2 M3)','',''
5,'2018-02-25','09:50','Þirmûnø 67 [2018.02.21 áraðas]','','Duobë vaþiuojamojoje kelio dalyje.  Pastatytos 3 vertikalios gairës.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-02-25','10:00'
6,'2018-02-25','10:05','Mickevièiaus','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-02-25','10:10'
7,'2018-02-25','10:15','Virðuliðkiø 103 [2018.02.09 áraðas]','','Susmegæs LN ðulinys vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-02-25','10:20'
8,'2018-02-25','10:25','Asanavièiûtës L.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-02-25','10:30'
9,'2018-02-25','10:40','Galvës','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-02-25','10:45'
10,'2018-02-25','14:00','Þaliøjø eþerø (link eþero Akis)','Robertas','Negyva stirna gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Ðiukðliø maiðai (1 VNT), Pirðtinës vienkartinës (4 VNT)','2018-02-25','15:05'
11,'2018-02-25','15:05','Antakalnio 12','BPC','Ant vaþiuojamosios gatvës dalies iðlietas tepalas','','Darijuð Ceiko','Tepalas neutralizuotas, panaudojant smëlá (0,1 m³)','Smëlis sav. (.1 M3)','2018-02-25','15:25'
12,'2018-02-25','15:55','Geologø 16','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','I Rinkevièius [e-paðtas] ','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
13,'2018-02-25','16:00','Meistrø 8','','Duobë vaþiuojamoje gatvës dalyje','I Rinkevièius [e-paðtas] ','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
14,'2018-02-25','16:00','Kalvarijø / Puðyno kel.','BPC','Pusiau atviras ðulinys þaliosios vejos zonoje','','Darijuð Ceiko','7.4 Ðulinys uþdengtas tuo paèiu dangèiu.','','2018-02-25','16:30'
15,'2018-02-25','16:07','Dariaus ir Girëno 9','','Negyvas katinas ðaligatvyje','','Darijuð Ceiko','2.2 Gyvûno gaiðena nerasta.','','2018-02-25','16:30'
16,'2018-02-25','16:10','Architektø 3','BPC','Negyva varna iðoriniame kieme','','Darijuð Ceiko','2.2 Gyvûno gaiðena nerasta.','','2018-02-25','17:05'
17,'2018-02-25','16:35','Fabijoniðkiø 2 [2017.12.28 áraðas]','','Smegduobë FN tinklø linijoje vaþiuojamoje gatvës dalyje, ávaþiavime á garaþus','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai neatlikti.','','2018-02-25','16:40'
18,'2018-02-25','16:40','Paberþës 8 [2018.01.09 áraðas]','','Smegduobë prie FN ðulinio vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai neatlikti.','','2018-02-25','16:45'
19,'2018-02-25','19:40','Liepkalnio 112 [2018.02.23 áraðas]','','Vaþ. dalyje formuojasi kelio dangos prasëdimas.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai neatlikti.','','2018-02-25','19:45'
20,'2018-02-25','19:55','Ðeimyniðkiø 42 [2018.02.20 áraðas]','','Duobë vaþiuojamojoje kelio dalyje. Duobë laikinai uþpilta frezuotu asfaltu.','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2018-02-25','20:00'
21,'2018-02-25','20:05','Upës / Malonioji g. [2018.02.04 áraðas]','','LN ðulinio iðlauþtas korpusas','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai neatlikti.','','2018-02-25','20:10'
22,'2018-02-25','20:35','Nemenèinës pl. / Gvazdikø Sodø 1-oji g. 1','Giedrius','Negyva stirna gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Maiðai ðiukðlems  (1 VNT), Pirðtinës vienkartinës (4 VNT)','2018-02-25','21:30'
