'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-03-13','03:40','Gedimino pr.','','Transporto eismo atidarymas','','Darijuð Ceiko','Transporto eismas atidarytas','','2018-03-13','04:10'
2,'2018-03-13','07:30','Kanto  I. al.  10','422 DNSB','tekantis vanduo negali sutekëti pro lietaus vandens groteles','','Darijuð Ceiko','12.3 Lietaus vandens gatvëje/kieme nuleidimas. Trapas pravalytas, vanduo subëgo.','','2018-03-13','08:45'
3,'2018-03-13','07:45','Tuskulënø 1A','Pirmininkë','Tvinsta garaþai','V. Jackevièius LN tarnyba','Darijuð Ceiko','12.1 Informacija perduota ','','',''
4,'2018-03-13','08:15','Kavoliuko A.P. 26','BPC','Smegduobë prie ðulinio kieme','VV avarinë 861611256','Darijuð Ceiko','Smegduobë prie FN ðulinio kieme þaliosios vejos zonoje. Pastatyta tvorelë','','',''
5,'2018-03-13','08:45','Dariaus ir Girëno 93','BPC','Gatvëje bilda du LN ðuliniai','','Darijuð Ceiko','LN ðuliniai, po ðulinio fiksavimo þiedais padëtos gumos tarpinës. Ðuliniai nebilda.','','2018-03-13','10:10'
6,'2018-03-13','09:15','Mozuriðkiø 130','Vidmantas','Gatvëje stovi didelë bala','','Darijuð Ceiko','Patikrinta. LN tinklø nëra, vandeniui nëra kur nubëgti.','','2018-03-13','10:30'
7,'2018-03-13','09:25','Sirvydo 5 [2018.03.10 áraðas]','','Nuo stogo krenta sniegas. Pavojinga vieta aptverta','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Tvorelës paimtos.','','2018-03-13','09:30'
8,'2018-03-13','09:30','Kairiûkðèio J. 3E','','Duobë prie ðulinio vaþiuojamoje gatvës dalyje','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Duobë prie LN trapo vaþiuojamoje gatvës dalyje. Trapas uþsikimðæs.','','',''
9,'2018-03-13','09:30','Stanevièiaus S. tarp 28 ir 30','Vytautas','Uþsikimðes LN ðulinys','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','12.1 Informacija perduota ','','',''
10,'2018-03-13','09:35','Taikos 2A','BPC','Smegduobë vaþiuojamoje gatvës dalyje','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Smegduobë vaþiuojamoje gatvës dalyje prie LN ðulinio. Pastatyta tvorelë','','',''
11,'2018-03-13','09:40','Liepkalnio / Gardino g.','','Darbai atlikti, paimti gairæ','','Darijuð Ceiko','Gairë paimta','','2018-03-13','09:45'
12,'2018-03-13','09:50','Kauno 26','','Darbai atlikti, paimti gairæ','','Darijuð Ceiko','Gairë paimta','','2018-03-13','09:55'
13,'2018-03-13','09:50','Rinktinës 29','','Smegduobë prie ðulinio ðaligatvyje darþelio teritorijoje','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Smegduobë prie LN ðulinio ðaligatvyje. Pastatytos tvorelës ir apjuosta STOP juosta','','',''
14,'2018-03-13','10:20','Tuskulënø 1A','','Atviras LN trapas prie garaþø','','Darijuð Ceiko','7.5 LN trapas. Uþdengtas naujomis plastmasinëmis grotelëmis. (50x38cm.)','Grotelës kompozitinës 380*500 (1 VNT)','2018-03-13','11:05'
15,'2018-03-13','10:30','Architektø 130 [2018.03.12 áraðas]','V. Jackevièius','Uþpilti laikinai trapà','','Darijuð Ceiko','4.3 Trapas laikinai uþpiltas frezuotu asfaltu (1 m³) ','Alsfalbetinis frezuotas (1 M3)','2018-03-13','11:00'
16,'2018-03-13','10:45','Justiniðkiø 70','Dainius Andziulis','Smegduobë ðaligatvyje prie ðulinio','VV avarinë 861611256','Darijuð Ceiko','Smegduobë ðaligatvyje prie FN ðulinio. Pastatyta tvorelë','','',''
17,'2018-03-13','10:50','Kalvarijø 150-79','Ona','Praneðë, kad nori perduoti sudauþyto buitinio termometro su gyvsidabriu liekanas','','Darijuð Ceiko','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2018-03-13','11:15'
18,'2018-03-13','11:00','Architektø 204','VV avarinë','Uþsikimðæ LN tinklai darþelyje','VV avarinë 861611256','Darijuð Ceiko','12.1 Informacija perduota ','','',''
19,'2018-03-13','11:30','Geleþinio vilko (nuo Baltupiø link centro)','BPC','Numuðtas ðuniukas, guli kelkraðtyje','Gyvûnø globos namai 865257707','Darijuð Ceiko','12.1 Informacija perduota ','','',''
20,'2018-03-13','12:00','Þirmûnø 131','','Smegduobë ðaligatvyje','VV avarinë 861611256','Darijuð Ceiko','Smegduobë ðaligatvyje virð FN tinklø. Pastatyta tvorelë','','',''
21,'2018-03-13','12:07','Saltoniðkiø 12','Giedre Purtulyte','Didejanti duobë prie ðulinio','VV avarinë 861611256','Darijuð Ceiko','Áduba prie FN ðulinio vaþiuojamoje gatvës dalyje','','',''
22,'2018-03-13','12:10','Vakarinis aplinkelis (nuo Gariûnø, nedavaþiuojant pësèiøjø tilto)','VPK','Atviras ðulinys vaþiuojamoje gatvës dalyje','AB „Kauno tiltai"861845204','Darijuð Ceiko','LN ðulinys uþdengtas tuo paèiu dangèiu, reikalingas korpuso remontas. Pastatyta vertikali gairë','','',''
23,'2018-03-13','12:20','Oslo (nuo Gariûnø)','','Atviras ðulinys þaliosios vejos zonoje [pastebëta vaþiuojant]','','Darijuð Ceiko','7.1 Ðulinys þaliosios vejos zonoje uþdengtas nauju g/b dangèiu.','Dangèiai ðuliniø ÐD7F (1 VNT)','2018-03-13','12:35'
24,'2018-03-13','12:41','Linksmoji 65','Jurgita Palionienë','Sulauþytas g/b ðulinio dangtis þaliosios vejos zonoje','','Darijuð Ceiko','7.1 Ðulinys þaliosios vejos zonoje uþdengtas nauju g/b dangèiu.','Dangèiai ðuliniø ÐD7F (1 VNT)','2018-03-13','15:50'
25,'2018-03-13','12:50','Antakalnio 124','VPK','Autoávykis','','Darijuð Ceiko','5.2 Vieta po autoávykio sutvarkyta.','','2018-03-13','13:30'
26,'2018-03-13','13:00','Polocko 28B','','Pusiau atviras ðulinys stovëjimo aikðtelëje','','Darijuð Ceiko','7.4 Ðulinys uþdengtas tuo paèiu dangèiu.','','2018-03-13','13:15'
27,'2018-03-13','13:15','Santariðkiø 2 (F korpusas)','BPC','Negyvas katinas','Gyvûnø globos namai 865257707','Darijuð Ceiko','12.1 Informacija perduota ','','',''
28,'2018-03-13','13:20','S. Neries 5 [2018.02.27 áraðas]','','Smegduobë ðaligatvyje pleèiasi','R. Jacunskas [e-paðtas]','Darijuð Ceiko','Pastatytos tvorelës 2 vnt. ir apjuosta STOP juosta. Tinklø smegduobës nëra.','','2018-03-13','13:40'
29,'2018-03-13','13:20','Vilkeliðkiø 5','BPC','Negyva stirna','Gyvûnø globos namai 865257707','Darijuð Ceiko','12.1 Informacija perduota ','','',''
30,'2018-03-13','13:25','Liepkalnio 160','BPC','Duobë vaþiuojamoje gatvës dalyje','I Rinkevièius [e-paðtas] ','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,3 m³). Pastatyta vertikali gairë','Alsfalbetinis frezuotas (.3 M3)','',''
31,'2018-03-13','13:29','Pylimëliø','Marius Baltruðaitis','Didelë bala gatvëje','','Darijuð Ceiko','Nurodytoje vietoje nëra LN tinklø, vandieniui nëra kur nubëgti.','','2018-03-13','13:50'
32,'2018-03-13','13:30','Ateities 7A','','Smegduobë vaþiuojamoje gatvës dalyje','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','Smegduobë vaþiuojamoje gatvës dalyje virð LN tinklø. Pastatyta tvorelë','','',''
33,'2018-03-13','13:40','Oslo (link Gariûnø)','VPK','Autoávykis','','Darijuð Ceiko','5.1 Surinkta ir iðveþta, tepalas neutralizuotas panaudojant sausà (2 kg ) sorbentà, vieta iðvalyta;','Absorbentas birus universalus UEDX020 (2 KG)','2018-03-13','14:15'
34,'2018-03-13','14:02','Architektø 23','Auðra Juðkauskienë','Uþsikimðes LN trapas kieme','Áraðas LN tarnybai, R.Zabarovskis','Darijuð Ceiko','reikalingas mechaninis pravalymas','','',''
