'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-04-08','04:00','Gedimino pr.','Vilniaus m. Savivaldybë','Gedimino prospekto atidarymas','','Rafal Raèko','Gedimino prospektas atidarytas','','2018-04-08','05:00'
2,'2018-04-08','09:30','Gedimino pr.','Vilniaus m. Savivaldybë','Patikrinti Gedimino prospekte gëlinës.','','Rafal Raèko','12.4 Avarinës vietos sutvarkymas. Gëlinës savo vietoje.','','2018-04-08','10:30'
3,'2018-04-08','11:08','Pilies','Vilniaus m. Savivaldybë','Gëliniø patraukimas','','Rafal Raèko','Gëlinës patrauktos','','2018-04-08','12:08'
4,'2018-04-08','11:28','Þygimantø','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta. Vyksta darbai.','','2018-04-08','12:28'
5,'2018-04-08','11:31','Geleþinio vilko','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','12:31'
6,'2018-04-08','11:34','Pilaitës pr.','Kulakovskij','Nugaiðusiø gyvûnø surinkimas','','Rafal Raèko','2.2 Gyvûno gaiðena nerasta.','','2018-04-08','12:34'
7,'2018-04-08','11:37','Kauno','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta. Vyksta darbai.','','2018-04-08','12:37'
8,'2018-04-08','12:00','Arkliø','Vilniaus m. Savivaldybë','Gëliniø patraukimas','','Rafal Raèko','Gëlinës patrauktos.','','2018-04-08','13:00'
9,'2018-04-08','13:29','Arkliø','Vilniaus m. Savivaldybë','Gëliniø pastatymas atgal.','','Rafal Raèko','Gëlinës pastatytos atgal á savo vietas.','','2018-04-08','14:29'
10,'2018-04-08','17:44','Gedimino pr.','Vilniaus m. Savivaldybë','patikrinti Gedimino prospekta (suoliukus)','','Rafal Raèko','Suoliukai pastatyti á vieta.','','2018-04-08','18:44'
11,'2018-04-08','17:49','Narbuto','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','18:49'
12,'2018-04-08','17:53','Laisvës  pr.','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','18:53'
13,'2018-04-08','17:55','Antakalnio 68','Edgaras Papstaitis','Nuoðliauþa / smegduobë vaþ. dalyje.','Informacija perduota Vilniaus vandenims (telefonu)','Rafal Raèko','Pastatyta vert. gairë. Informacija perduota.','','2018-04-08','18:55'
14,'2018-04-08','17:57','Kalvarijø','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','18:57'
15,'2018-04-08','17:57','Geleþinio vilko','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','18:57'
16,'2018-04-08','18:00','Tuskulënø','WAZE ataskaita','Duobës vaþiuojamojoje kelio dalyje','','Rafal Raèko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2018-04-08','19:00'
17,'2018-04-08','18:22','Juozapavièiaus A. / Rinktinës g.','BPC','Nuoðliauþa / smegduobë vaþ. kelio dalyje','Informacija perduota Vilniaus vandenims (telefonu)','Rafal Raèko','Pastatyta ver. gairë. Informacija perduota.','','2018-04-08','19:22'
18,'2018-04-08','20:39','Galvës / Vilijos g.','Jonas','Nugaiðusiø gyvûnø surinkimas','','Rafal Raèko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Maiðai ðiukðlems  (1 VNT), Pirðtinës vienkartinës (2 VNT)','2018-04-08','21:39'
19,'2018-04-08','20:49','Rinktinës','Vytautas','Ágriûva vaþ. kelio dalyje.','','Rafal Raèko','Vert. gairë pataisyta.','','2018-04-08','21:49'
20,'2018-04-08','23:50','Turgaus','Policija','Prie naktinës parduotuvës nugriuvo þmogus, daug kraujo.','','Rafal Raèko','12.4 Avarinës vietos sutvarkymas. Kraujas sutvarkytas','Absorbentas birus universalus UEDX020 (2 KG)','2018-04-08','00:50'
