'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-20','00:20','Gariûnø kylant á kalnà','(Budinèiu ekipaþu apvaþiuojant)','laikinai pastatytø kelio þenklø patikrinimas (þiûrëti ataskaitoje 2019.01.19)','','Alvydas Biliûnas','Laikinai pastatyta vertikali gairë stovi vietoje, naktinis þibintas veikia tvarkingai.','','2017-01-20','00:00'
2,'2017-01-20','08:50','Vilkpëdës 10','BPC','Vaþiuojamoje dalyje iðkeltas trapas.','','Alvydas Biliûnas','Korpusas groteliø iðvalytas grotelës ástatytos á  vieta.','','2017-01-20','09:10'
3,'2017-01-20','09:00','Liepkalnio 85','112','Vaþiuojamoje dalyje medþio ðaka.','','Alvydas Biliûnas','Patraukta nuo vaþiuojamos dalies ','','2017-01-20','09:25'
4,'2017-01-20','09:15','Þirniø 6','pastebëta vaþiuojant','Plytø duþenos vaþ, dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','09:20'
5,'2017-01-20','09:25','Gariûnø Uþ tilto','BPC','Vaþiuojamoje dalyje statybinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','09:40'
6,'2017-01-20','09:30','Salininkø Prieð geleþinkelio pervaþa.','vaþiuojant pastebëta.','Betono gabalai.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-20','09:40'
7,'2017-01-20','09:40','Alkûnës 2','BPC','Vaþiuojamoje dalyje padangos.','','Alvydas Biliûnas','Paimtos, iðveþtos.','','2017-01-20','10:30'
8,'2017-01-20','09:45','Titnago Dubliðkiø','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-20','10:10'
9,'2017-01-20','09:45','Salininkø þiedas','vaþiuojant pastebëta','Plastiko duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','09:51'
10,'2017-01-20','09:50','Joèioniø st. Jaèioniø.','vaþiuojant pastebëta.','Ðiukðlës buitinës iðverstos su maiðu.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','09:56'
11,'2017-01-20','09:55','Liepkalnio 67','pastebëta vaþiuojant .','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-20','09:58'
12,'2017-01-20','10:00','Ûmëdþiø 8','BPC','Vaþiuojamoje dalyje praviras ðulinys.','','Alvydas Biliûnas','Korpusas ðulinio iðvalytas dangtis ástatytas á vieta.','','2017-01-20','10:20'
13,'2017-01-20','10:02','Dzûkø 50','pastebëta vaþiuojant','Ðiukðlës buitinës ant vaþ. dalies.','','Alvydas Biliûnas','Surinktos iðveþtos.','','2017-01-20','10:08'
14,'2017-01-20','10:05','Dzûkø Panevëþio sank.','vaþiuojant pastebëta.','Sulauþyti ratlankio gaubtai vaþiuojamoje dalyje..','','Alvydas Biliûnas','Paimti, iðveþti.','','2017-01-20','10:10'
15,'2017-01-20','10:10','Liepkalnio 4A','BPC','Vaþiuojamoje dalyje trûkæs ðulinio dangtis.','LN tarnyba R. Zabarovskis.','Alvydas Biliûnas','Nuvykus á vieta nustatyta, kad trûkæs LN ðulinio dangtis. Pastatyta vert. gairë.','','2017-01-20','10:40'
16,'2017-01-20','10:15','Titnago 19','vaþiuojant pastebëta.','Plytø duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','10:18'
17,'2017-01-20','10:15','Stadiono 5','pastebëta vaþiuojant.','Kartoninës dëþës vaþ. dalies kelkraðtyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','10:18'
18,'2017-01-20','10:20','Liepkalnio 14','pastebëta vaþiuojant.','Fanieros gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-20','10:22'
19,'2017-01-20','10:35','Rasø Pelesos sank.','Pastebëta vaþiuojant.','Trapo grotelës iðkilusios.','','Alvydas Biliûnas','Korpusas groteliø iðvalytas grotelës ástatytios á vieta.','','2017-01-20','10:46'
20,'2017-01-20','10:50','Eiguliø','vaþiuojant pastebëta.','Duþenos vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','10:55'
21,'2017-01-20','10:50','Vilkpëdës Savanoriø sank.','BPC','Duþenos stiklo vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','11:16'
22,'2017-01-20','10:55','Naugarduko Mindaugo sank.','pastebëta vaþiuojant.','Plastiko gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-20','11:00'
23,'2017-01-20','11:05','Skroblø 25','vaþiuojant pastebëta.','Lentos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas , iðveþtas.','','2017-01-20','11:08'
24,'2017-01-20','13:15','Dzûkø 101','BPC','Ið ðulinio verþesi vanduo.','Vandentiekio avarinë','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-20','13:18'
25,'2017-01-20','14:40','Talino 37','BPC','Vaþiuojamoje dalyje ðulinio dangtis juda.','LN tarnyba R. Zabarovskis.','Alvydas Biliûnas','Nuvykus á vieta nustatyta , kad LN ðulinys sulauþytas ðulinio korpusas, (pastatyta vert. gairë)','','2017-01-20','15:45'
26,'2017-01-20','14:50','Laisvës  pr.','vaþiuojant pastebëta.','Ties posukiu á Parodø rûmus  automobilinio posparnio dalis.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-20','14:55'
27,'2017-01-20','15:00','Rinktinës Sporto-Rûmai 1.','El. paðtas G. Niaura','Uþteverti ávaþiavima prie sporto rûmø gëlinëm kurios yra nustumtos.','El. paðtas G. Niaura.','Alvydas Biliûnas','Palaukus kol iðvaþinës automobiliai gëlinëm uþstatytas ávaþiavimas prie sporto rûmø.','','2017-01-20','19:30'
28,'2017-01-20','15:04','Rygos 5','vaþiuojant pastebëta.','Putø polistirolo gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-20','15:10'
29,'2017-01-20','15:08','Kalvarijø 300','pastebëta vaþiuojant','Betono gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-20','15:10'
30,'2017-01-20','15:10','Ateities 12','Policija','Autoávikis.','El. paðtas E. Garbovskis.','Alvydas Biliûnas','Duþenos surinktos, iðveþtos Sulauþytas þenklas su rodyklæ paimtas, iðveþtas á UAB"Grinda" saugojimo aikðtelæ.','','2017-01-20','16:10'
31,'2017-01-20','15:18','Laisvës  pr. Rygos sankr.','Policija','Autoávikis.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos.','','2017-01-20','15:54'
32,'2017-01-20','15:20','Ðvitrigailos Kauno sankr.','Policija','Duobës vaþiuojamoje dalyje.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-20','16:05'
33,'2017-01-20','15:30','Minsko pl.','Policija','Vaþiuojant link Liepkalnio vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,5m3)','','2017-01-20','18:20'
34,'2017-01-20','15:40','Liepkalnio "Porðë centras"','BPC','Metalinio tinklo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-20','16:12'
35,'2017-01-20','16:10','Þemaitës 16','BPC','Automobiliø stovëjimo aikðtelëjæ prie ðulinio ágriuva.','Vandentiekio avarinë disp. Alina ','Alvydas Biliûnas','Ágriuva prie vandentiekio ðulinio ( Pastatyta tvorelë)','','2017-01-20','16:27'
36,'2017-01-20','16:20','Kalvarijø 156','','Nuversti laikini kelio þenklai.','','Alvydas Biliûnas','Atstatyti á vieta.','','2017-01-20','16:25'
37,'2017-01-20','19:40','Trakø 7','BPC','Nuo namo sienos ant ðaligatvio krenta tinkas.','Senamiesèio ûkis','Alvydas Biliûnas','Laikinai uþtverta  pastatyta  (2vnt) tvoreliø ir apjuosta "STOP" juosta.','','2017-01-20','20:00'
38,'2017-01-20','19:40','Uþupio 7','vaþiuojant pastebëta.',' Ðiukðlës statybinës netoli stotelës " Vilnios"','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-20','19:45'
39,'2017-01-20','19:45','Gerosios vilties 4','112','Ðiukðliø konteineris iðstumtas á vaþ. dalá.','','Alvydas Biliûnas','Konteineris patrauktas nuo vaþiuojamos dalies ir atstatytas á vieta.','','2017-01-20','20:15'
40,'2017-01-20','21:30','Rinktinës 3','Policija','Vaþiuojamoje gatvës dalyje duobë.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0,1m3) Ávaþiavo automobilis Volvo V-70 vals nr.JZC547.','','2017-01-20','22:05'
41,'2017-01-20','21:40','Slucko 3','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-20','22:15'
42,'2017-01-20','22:17','Geleþinio vilko tunelyje','vaþiuojant pastebëta.','Padangos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-20','22:20'
43,'2017-01-20','22:25','Geleþinio vilko Pësèiûjø viadukas','pastebëta vaþiuojant.','Nuverstas laikinas kelio þenklas.','','Alvydas Biliûnas','Laikinas þenklas atstatytas á vieta.','','2017-01-20','22:28'
