'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-10-24','03:45','Gedimino pr.','E. Garbovskis','Eismo atidarymas','','Darijuð Ceiko','Eismas atidarytas','','2017-10-24','04:00'
2,'2017-10-24','08:45',' Pragiedruliø Sodø 7-oji g. 10','','Nemalonus kvapati ið trapo, matomai uþsikimðæs','','Darijuð Ceiko','Patikrinta. LN trapas ðvarus, veikiantis.','','2017-10-24','10:50'
3,'2017-10-24','09:00','Gerbutavièiaus D. 1','','Ágriuves ðulinys þaliosios vejos zonoje','Áraðas LN gamybinei tarnybai, R.Zabarovskis','Darijuð Ceiko','Ágriuves LN ðulinys þaliosios vejos zonoje. Pastatyta tvorelë','','',''
4,'2017-10-24','09:14','Narbuto (þiedo zonoje)','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','09:17'
5,'2017-10-24','09:19','Verkiø (prie þiedo)','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','09:22'
6,'2017-10-24','09:22','Kareiviø 2','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','09:25'
7,'2017-10-24','09:24','Kareiviø','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','09:27'
8,'2017-10-24','09:30','Kirtimø 49D','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','I Rinkevièius [e-paðtas] ','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
9,'2017-10-24','09:37','Nemenèinës pl. / Girininkijos g.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobës (viso: 2 vnt.) laikinai uþpiltos frezuotu asfaltu (viso: 0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
10,'2017-10-24','09:48','Nemenèinës pl. / Husoviano g.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobës (viso: 2 vnt.) laikinai uþpiltos frezuotu asfaltu (viso: 0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
11,'2017-10-24','09:50','Nemenèinës pl. / Girinaièiø g.','','Duobë vaþiuojamoje gatvës dalyje [pastebëta vaþiuojant]','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
12,'2017-10-24','10:08','Ðiaurës','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','10:11'
13,'2017-10-24','10:10','Laisvës  pr. 85B','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','10:13'
14,'2017-10-24','10:22','Filaretø 64','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','I Rinkevièius [e-paðtas] ','Darijuð Ceiko','Duobës (viso: 2 vnt.) laikinai uþpiltos frezuotu asfaltu (viso: 0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
15,'2017-10-24','10:25','Goðtauto 12','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','10:28'
16,'2017-10-24','10:28','Batoro / Drujos g.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','10:31'
17,'2017-10-24','10:30','Liepkalnio 55','','Vaþiuojamoje gatvës dalyje iðmëtytos kartoniniø dëþiø liekanos ir popieriaus skiautës\x0d\x0a[pastebëta vaþiuojant]\x0d\x0a','','Darijuð Ceiko','10.2 Surinkta ir iðveþta, vieta iðvalyta. ','','2017-10-24','10:35'
18,'2017-10-24','10:35','Grybo V. / Ðilo g.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Patikrinta. Vyksta kelio dangos remonto darbai.','','2017-10-24','10:38'
19,'2017-10-24','11:00','Batoro (nuo miesto)','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','11:03'
20,'2017-10-24','11:10','Paneriø','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','11:13'
21,'2017-10-24','12:40','Kaukysos 18','BPC','Verþiasi vanduo ið ðulinio, uþ namo','VV avarinë 861611256','Darijuð Ceiko','12.1 Informacija perduota','','',''
22,'2017-10-24','13:42','Pavilnioniø (po viaduku)','BPC','Negyva stirna gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','2.1 Stirnos gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës (4 VNT)','2017-10-24','15:15'
23,'2017-10-24','15:30','Zujûnø g.  / Dituvos g. ','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
24,'2017-10-24','15:35','Kirtimø (nuo Griûnø)','BPC','Kliûtis gatvës vaþiuojamoje dalyje','','Darijuð Ceiko','Skardos fragmentas paimtas ir iðveþtas','','2017-10-24','15:55'
25,'2017-10-24','15:40','Þaliøjø eþerø','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Patikrinta. Nurodytu adresu duobës suremontuotos.','','2017-10-24','15:43'
26,'2017-10-24','15:50','Mokslininkø / Bajorø Sodø 33-oji g.','Waze ataskaita','','','Darijuð Ceiko','Patikrinta. Vyksta kelio dangos remonto darbai.','','2017-10-24','15:53'
27,'2017-10-24','16:03','Geleþinio vilko / Noragiðkiø g.','Waze ataskaita','','','Darijuð Ceiko','Patikrinta. Vyksta kelio dangos remonto darbai.','','2017-10-24','16:06'
28,'2017-10-24','16:06','Ateities / Visoriø g.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','Patikrinta. Nurodytu adresu duobës suremontuotos.','','2017-10-24','16:09'
29,'2017-10-24','16:10','L. Giros 106A','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','16:13'
30,'2017-10-24','16:15','Gedvydþiø 14','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','UAB „Lemminkainen Lietuva" [e-paðtas]','Darijuð Ceiko','Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³)','Alsfalbetinis frezuotas (.1 M3)','',''
31,'2017-10-24','16:30','Pilaitës pr. / Laisvës pr.','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','16:33'
32,'2017-10-24','16:44','Sietyno','Waze ataskaita','Duobë vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','4.5 Nurodytu adresu avariniø duobiø nepastebëta.','','2017-10-24','16:47'
33,'2017-10-24','18:00','Virðuliðkiø / Àþuolyno g.','VPK','Padangos gatvës kelkraðtyje','','Darijuð Ceiko','Paimta ir iðveþta (11 vnt.)','','2017-10-24','18:00'
34,'2017-10-24','18:45','Gedimino pr.','E. Garbovskis','Eismo apribojimas','','Darijuð Ceiko','Eismas apribotas','','2017-10-24','19:00'
35,'2017-10-24','19:07','Vokieèiø 9 [2017.09.09 áraðas]','','Smegduobë ant perëjos','','Darijuð Ceiko','12.2 Laikinøjø þenklø patikrinimas. Remonto darbai atlikti.','','2017-10-24','19:10'
36,'2017-10-24','21:18','Minties 5','BPC','Negyvas katinas vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','2.2 Gyvûno gaiðena nerasta.','','2017-10-24','21:45'
37,'2017-10-24','23:05','Stanevièiaus S. / Ateities g.','VPK','stiklo duþenos vaþiuojamoje gatvës dalyje','','Darijuð Ceiko','10.2 Surinkta ir iðveþta, vieta iðvalyta. ','','2017-10-24','23:30'
