Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/17,07:15,Liepkalnio g. 43,Konstantin,Negyvas katinas važiuojamoje gatvės dalyje.,Katinas paimtas ir nuvežtas į BGKT.,2016/02/17,08:24
2,2016/02/17,07:17,Pilies/Šventaragio g. sankryža,G.K. Niaura,Patraukti gėlinę nuo dviračio tako.,Gėlinė patraukta.,2016/02/17,08:05
3,2016/02/17,08:04,Ukmergės g.,BPC,Slidi kelio danga.,Informacija perduota.,,
4,2016/02/17,08:30,Savanorių pr. 178,A. Visockas,"Avarinė duobė prie šulinio važiuojamoje gatvės dalyje, galima besiformuojanti įgriuva.",Nurodytu adresu vyksta remonto darbai.,2016/02/17,08:50
5,2016/02/17,08:55,Savanorių pr. 180,,"Važiuojamoje gatvės dalyje pastebėtos 2 avarinės duobės (30x60cm., 50x70cm. h8cm). ",Duobės laikinai užtaisytos šaltu asfaltu. Sunaudota 150kg. Informacija perduota. ,,
6,2016:02.17,09:04,Žirmūnų/Kareivių g. sankryža,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/17,09:35
7,2016/02/17,09:05,S. Neries g. 21,Strolis,Termometras su gyvsidabriu.,,2016/02/17,09:43
8,2016/02/17,09:55,Ateities g. 17,,Važiuojamoje gatvės dalyje pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/02/17,10:02
9,2016/02/17,10:20,Santariškių g. 1,BPC,Slidi kelio danga.,Informacija perduota.,,
10,2016/02/17,10:28,Oreivių g. (Nuo oro uosto link IKEA),E. Garbovskis,Išvartyti metaliniai stulpeliai žymintis inžinėrinius šulinius.,"Valant sniegą, traktorius sulenkė stulpelius. Stulpeliai ištiesinti.",2016/02/17,10:55
11,2016/02/17,10:40,Telšių g. 2,,Ant tvoros uvirtęs medis.,Informacija perduota.,,
12,2016/02/17,10:57,Gerbutavičiaus g. 3,Lina,Atviras šulinys žalioje vejoje.,LN šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/17,11:22
13,2016/02/17,11:17,Parko g. 15,VPK,Lentų nuolaužos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/17,11:56
14,2016/02/17,12:04,Pergalės g. (Prie tilto),,Važiuojamoje gatvės dalyje pastebėta silikatinė plyta.,Plyta paimta ir išvežta.,2016/02/17,12:07
15,2016/02/17,12:04,Metalo/Eišiškių pl. sankryža,VPK,Kliūtis važiuojamoje agtvės dalyje.,Plastmasinis posparnis paimtas ir išvežtas.,2016/02/17,12:20
16,2016/02/17,12:37,Trakų g. 7,Kirkilas,Atviras trapas važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/02/17,13:09
