Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/14,06:55,"Kalno g., Uosių g.",Autoparkas,Slidi kelio danga.,Informacija perduota.,,
2,2016/02/14,07:09,Ateities g.,Autoparkas,Slidi kelio danga.,Informacija perduota.,,
3,2016/02/14,07:30,Vytenio g. 13,BPC ,Prie namo žal. vejoje praviras šuliys.,"Nustatyta, kad šulinys priklauso TEO tinklams. Šulinys uždengtas tuo paiu dangčiu.",2016/02/14,07:45
4,2016/02/14,07:45,Gariūnų g. prieš tiltą per Nerį link miesto,VPK,Važ. dalyje žibintų duženos.,,2016/02/14,08:09
5,2016/02/14,08:05,Titnago g. 14 link miesto,(Pastebėta pravažiuojant).,Prie atitvarų rato gaubto duženos.,Rato gaubto duženos surinktos ir išvežtos.,2014/02/14,08:15
6,2016/02/14,08:15,Viršupio g./ Mileišiškių g.,BPC ,Slidi kelio danga.,Informacija perduota.,,
7,2016/02/14,08:24,Oslo g. įvažiuojant į Laisvės pr. link Savanorių žiedo,(Pastebėta pravažiuojant),Prie atitvarų rato gaubto duženos.,Rato gaubto duženos surinktos ir išvežtos.,2014/02/14,08:35
8,2016/02/14,08:50,Dzūkų g. 26,Stefan,"Važ. dalyje nestabilus šulinio dangtis, bilda.","Nuroytu adresu LN trapo korpusas nuvalytas nuo šlapio sniego, išstumtos grotelės įstatytos į korpusą, laikosi tvirtai.",2014/02/14,09:10
9,2016/02/14,09:10,"Centrinių Vilniaus gatvių apvažiavimas UAB ,,Grinda"" direktoriaus įsakymas Nr. V 269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais.,"Šventaragio g., Jogailos g., Vrublevskio g., Užupio g., Gedimino pr., Pilies g., Vokiečių g. patikrintos, iš perpildytų šiukšliadėžių surinktas ir išvežtasvienas maišas šiukšlių.",2014/02/14,10:40
10,2016/02/14,09:25,Dzūkų g. 52,,Laikinųjų kelio ženklų patikrinimas. Žiūrėti įrašą (2016.02.10).,"Remonto darbai padaryti, vertikali gairė paimta.",2014/02/14,09:35
11,2016/02/14,09:35,"Gedimino g. 30, 36",(Pastebėta pravažiuojant),Važ. gatvės dalyje grindinio ištupiejusių trinkelių liekanos (pažeista grindinio danga).,Ištrupiejusių trinkelių liekanos surinktos ir išvežtos. Informacija perduota.,,
12,2016/02/14,09:50,Jankiškių g. 27,,Gatvėje praviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. LN trapo grotelės įstatytos į korpusą.",2016/02/14,10:15
13,2016/02/14,10:10,"Geležinio Vilko g. link Pietario g. už 100m iki autobusų sust. ,,Pietario""",BPC ,"Žal. vejoje nuvirtęs medis guli ant šaligatvio, medžio viršunė apie 1m išlenda važ. dalyje.",Nuvirtęs medis supjautas ir paliktas žal. vejoje. Informacija perduota.,,
14,2016/02/14,10:30, Uosių g. važiuojant nuo Šiaurės g. už 30 m,Tadas,Gatvėje nuvirtęs medis.,Nurodytu adresu nulužęs sausas medelis patrauktas nuo važ. dalies.,2016/02/14,10:55
15,2016/02/14,10:50,Verkių g. žiedas prie autobusų parko,VPK,Važ. dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/02/14,11:15
16,2016/02/14,11:10,"Savanorių pr. link centro troleibusų sust. ,,Vingis"" ",Autobusų parko dispečerinė,Važ. dalies I-oje eismo juostoje formuojasi duobė.,"Besiformuojančia duobė laikinai užpilta frezuotu asfaltu, panaudota (0,1m³). Informacija perduota.",,
17,2016/02/14,11:25,Verkių g. link Žvalgų g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje užsikimšęs LN trapas.,LN trapo grotelės nuvalytos nuo šlapio sniego ir šiukšlių.,2016/02/14,11:40
18,2016/02/14,11:45,Liepkalnio g.  link Pelesos g.,BPC ,Prie parko važ. dalyje nulūžusi         medžio šaka.,Nulūžusi medžio šaka paimta ir išvežta.,2016/02/14,12:10
19,2016/02/14,12:00,Seinų g. link Sodų g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje susmegęs              šulinio kraštas.,"Nustatyta, kad šulinys priklauso LN tinklams. Kelio ženklas nestatytas, trukdo eismui. Įrašas žurnale.",,
20,2016/02/14,12:24,Užupio g. tarp namo     Nr. 2 ir Nr. 4,VV avarinė         disp. Grimža              ,"Važ. dalyje susmegęs šulinys, pastatyta VV avarinės signalinė tvorelė.","Nustatyta, kad šulinys priklauso TEO tinklams. Informacija perduota.",,
21,2016/02/14,12:40,Eišiškių pl. link  Salininkų g. ,Aleksandr,Prie salelės plastmasinio bamperio fragmentas.,Plastmasinio bamperio fragmentas paimtas ir išvežtas.,2016/02/14,13:09
22,2016/02/14,13:00,"Pramonės g. link miesto, priešais Buitinių atliekų priėmimo punkto",BPC ,Važ. dalyje atsiverė didelė duobė.,"Nurodytu adresu avarinė duobė laikinai užtaisyta frezuotu asfaltu, panaudota (0,8 m³). Informacija perduota.",,
23,2016/02/14,13:25,Mechanikų g. 77,,Laikinųjų kelio ženklų patikrinimas. Žiūrėti įrašą (2016.02.10)., ,2016/02/14,13:30
24,2016/02/14,13:50,Pramonės g. 44,(Pastebėta pravažiuojant).,Kelkraštyje sunkviežimio padangos liekanos.,Sunkviežimio padangos liekanos surinktos ir išvežtos.,2016/02/14,14:10
25,2016/02/14,14:05,Erfurto g./ Oslo g. žiedas,VPK,Važ. dalyje žibintų duženos.,Žibintų duženos surinktos ir išvežtos.,2016/02/14,14:25
26,2016/02/14,14:35,S.Batoro g. /Dūmų g. sanrž. už 15m link miesto,(Pastebėta pravažiuojant).,Važ. dalyje guminis kilimėlis.,Paimtas ir išvežtas.,2016/02/14,14:50
27,2016/02/14,14:55,Laisvės pr. 44C,Alvydas,Prie namo žal. vejoje pusiau             atviras šulinys.,LN šulinys uždengtas nustumtu g/b dangčiu.,2016/02/14,15:15
