Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/07,06:54,Tuskulėnų g. / M. Katkaus g.,VPK,Stiklo duženos važiuojamoje gatvės dalyje,"surinkta ir išvežta, vieta išvalyta",2016/03/07,07:23
2,2016/03/07,07:30,Rinktinės g. 38,,"Metalinė sutraiškyta skardinė talpa gatvės važiuojamoje dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/07,07:35
3,2016/03/07,07:54,"Pergalės g. / Pramonės g.
< 2016.02.04 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Praėdusios šaligatvio plytelės. Miesto komunalinių inžinerinių tinklų prasėdimo vietoje nėra >
[tvorelė]",Patikrinta. Remonto darbai neatlikti.,2016/03/07,08:00
4,2016/03/07,08:13,Minties g. 32,BPC,Atviras šulinys žaliosios vejos zonoje,LN tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/03/07,08:32
5,2016/03/07,08:44,Ateities g. 5,BPC,Kliūtis gatvės važiuojamoje dalyje,"Faneros lakštų nuolaužos važiuojamoje gatvės dalyje
Surinkta ir išvežta",2016/03/07,09:05
6,2016/03/07,09:12,L. Giros g. 15,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/07,09:17
7,2016/03/07,09:24,Žemynos g. 30,,"Buitinio stiklo duženos ir buitinės šiukšlės važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/07,09:36
8,2016/03/07,09:50,"Laisvės pr. kylant link Architektų g. 113
< 2016.03.03 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,VV Vandentiekio tinklų šulinys laikinai uždengtas manevriniu dangčiu ir pastatyta vertikali gairė,Patikrinta. Remonto darbai atlikti. Laikinas ženklas paimtas.,2016/03/07,09:55
9,2016/03/07,10:05,Linksmoji g. / Smurgainių g.,Saulius,Atviras šulinys žaliosios vejos zonoje,LN tinklų šulinys uždengtas nauju g/b dangčiu.,2016/03/07,10:35
10,2016/03/07,10:17,S. Batoro g. (Stepono Batoro st. zonoje),,"Padanga gatvės kelkraštyje
[pastebėta važiuojant]",Paimta ir išvežta (1 vnt.),2016/03/07,10:23
11,2016/03/07,10:35,Šiaurės g. / A. Kojelavičiaus g.,VPK,"Bamperio liekanos, smulkios tvirtinimo detalės ir stiklo duženos važiuojamoje gatvės dalyje","Surinkta ir išvežta, vieta išvalyta",2016/03/07,10:58
12,2016/03/07,10:53,"Saltoniškių g. 9
(požeminė perėja)",Gyventojas,Nedega apšvietimas požeminėje perėjoje,Informacija perduota,,
13,2016/03/07,11:05,Liepkalnio g. 35A,Alvydas,Duobė važiuojamoje gatvės dalyje,Duobė laikinai užpilta šaltu asfaltu (50 kg),,
14,2016/03/07,11:15,"Dzūkų g.43
< 2016.02.27 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,Juda FK šulinio korpusas važ. dalyje.,Patikrinta. Remonto darbai atlikti. Laikinas ženklas paimtas.,2016/03/07,11:20
15,2016/03/07,11:34,Rasų g. 15,,"Tepaluotas skuduras važiuojamoje gatvės dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/07,11:40
16,2016/03/07,11:56,Vilkpėdės g. 12,BPC,Medžio šaka važiuojamoje gatvės dalyje,Medžio šaka patraukta nuo važiuojamosios gatvės dalies,2016/03/07,12:14
17,2016/03/07,12:27,Architektų g. 43,,"Važiuojamoje gatvės dalyje išbarstytos plastiko liekanos
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/07,12:40
18,2016/03/07,12:51,Gariūnų g. 56,,"Važiuojamoje gatvės dalyje ir kelkraštyje išmėtytos kartoninių dėžių liekanos ir popieriaus skiautės
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/07,13:05
19,2016/03/07,13:13,Titnago g. 6,VPK,Negyvas katinas važiuojamoje gatvės dalyje,Nurodytu adresu negyvo katino nerasta,2016/03/07,13:33
20,2016/03/07,13:45,"Pilaitės pr. (nedavažiavus PC ""PUPA"")",VPK,"Autoįvykis: 
automobilio žibintų duženos, plastiko liekanos ir išsiliejęs tepalas važiuojamoje gatvės dalyje","Surinkta ir išvežta, tepalas neutralizuotas panaudojant sausą (4 kg ) ir skystą (3 ltr)  sorbentą, vieta išvalyta",2016/03/07,14:10
21,2016/03/07,14:18,Saltoniškių g. / Sėlių g.,BPC,Atviras šulinys važiuojamoje gatvės dalyje,"VV Vandentiekio tinklų šulinys laikinai uždengtas manevriniu dangčiu ir pastatyta vertikali gairė
--------------------------
17:30 val. Remonto darbai atlikti. Laikinus ženklus VV Vandentiekio tinklų avarinė grąžino.",,
