Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/06,07:11,Žirmūnų žiedas,BPC,"Važ. dalyje duženos stiklo, plastiko.","Surinktos, išvežtos",2016/03/06,08:09
2,2016/03/06,07:28,Šeškinės g.63,112,Važ. gatvės dalyje kartoninės dėžės.,"Surinktos, išvežtos",2016/03/06,07:54
3,2016/03/06,07:40,Ukmergės g.250,Mačiulis,Padangos.,"Paimtos, išvežtos (2vnt)",2016/03/06,08:28
4,2016/03/06,07:50,Rasų/Dunojaus g-vių sank.,Policija,Autoįvykis.,"Duženos surinktos išvežtos, gatvė išvalyta.",2016/03/06,09:00
5,2016/03/06,08:00,Molėtų pl. prieš degalinę,BPC,Partrenktas gyvūnas.,Katinas paimtas nuvežtas į BGKT,2016/03/06,09:20
6,2016/03/06,08:18,Kalvarijų/Lūkšio g. sankirta.,BPC,Praviras šulinys važ. dalyje.,Korpusas išvalytas dangtis įstatytas į vieta laikosi stabiliai.,2016/03/06,08:50
7,2016/03/06,08:32,Krokuvos g.5,BPC,Negyvas katinas šaligatvyje guli.,Nuvykus į vietą negyvo katino nerasta.,2016/03/06,
8,2016/03/06,08:52,Vandentiekio g.28,BPC,Žaliojoje vejoje iš kiemo pusės atviras šulinys.,Uždengtas tuo pačiu G/B dangčiu.,2016/03/06,09:20
9,2016/03/06,09:05,Visorių g.(važiuojant nuo Ateities g.),Jankauskas,Kelkraštyje guli partrenktas gyvūnas.,Nuvykus pagal adresą gyvūno nerasta.,2016/03/06,
10,2016/03/06,09:15,Čiurlionio g.82,BPC,Važ. gatvės dalyje stiklo duženos.,"Surinktos, išvežtos. Gatvės vieta išvalyta. ",2016/03/06,09:45
11,2016/03/06,09:20,Savanorių pr.                         (žiedas),Važiuojant pastebėta,Buitrinės šiukšlės išbyrėjusios,"Surinktos, išvežtos",2016/03/06,09:25
12,2016/03/06,09:25,Savanorių pr.  62                       ,Važiuojant pastebėta,Sulaužyta plastikinė taros dėžė.,"Paimta, išvežta.",2016/03/06,09:35
13,2016/03/06,09:37,Oslo g.5,BPC,Medienos nuolaužos važ. dalyje.,"Surinktos, išvežtos",2016/03/06,10:10
14,2016/03/06,09:50,Oslo/Lazdynėlių sankr.,Važiuojant pastebėta,Sulaužyto bamperio liekanos.,"Surinktos, išvežtos",2016/03/06,09:55
15,2016/03/06,10:10,Kirtimų g.4,Policija,Lentų nuolaužos iškritusios ant važ. dalies ,"Surinktos, išvežtos",2016/03/06,10:45
