Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/23,07:09,Ukmergės g. ,868647281,Kylant į kalna tarp 1-mos ir 2-tros juostos duobė.,Užasfaltuota duobė. Sunaudota (100kg) šalto asfalto,2016/02/23,08:20
2,2016/02/23,07:25,Žalakevičiaus g.2,BPC,Atviras šulinys žaliojoje vejoje netoli namo.,Uždengtas tuo pačiu dangčiu,2016/02/23,08:00
3,2016/02/23,07:48,Tūkstantmečio g.,112,Padangos kelkraštyje.,"Surinktos, išvežtos (2vnt)",2016/02/23,08:15
4,2016/02/23,08:00,Versmių g.14,Belavockij,Sudužo termometras.,"Paimtas, išvežtas",2016/02/23,16:00
5,2016/02/23,08:18,Metalo g.7,BPC,Važiuojamoje dalyje praviras šulinys.,"Šulinio korpusas išvalytas, uždengtas tuo pačiu dangčiu.",2016/02/23,09:00
6,2016/02/23,08:26,Kalvarijų/Žvalgų g. sank.,Policija,Autoįvykis.,"Duženos surinktos, išvežtos. ",2016/02/23,09:05
7,2016/02/23,08:35,Ąžuolyno g.10,Kaspariūnas,Važ. dalyje duobė.,"Užpilta frezuotu asfaltu (0,1m3)",2016/02/23,08:55
8,2016/02/23,09:00,Viršuliškių g.97A,Važiuojant pastebėta,Važ. gatvės dalyje duobė,"Užpilta frezuotu asfaltu (0,1m3)",2016/02/23,08:11
9,2016/02/23,09:10,Šeiminiškių /Lvovo g. sankryža.,Policija,Autoįvykis.,"Duženos surinktos, išvežtos. Išsilieją tepalai išvalyti sunaudota (5kg) sauso sorbento ir (0,5Lit) skysto.",2016/02/23,10:20
10,2016/02/23,09:15,Vasario-16 g.2,Nuotekų avarinė,Darbai užbaigti.,"Laikinas ženklas paimtas, išvežtas.",2016/02/23,
11,2016/02/23,09:35,Konarskio g.12,BPC,Kiemo važ. dalyje iškeltas šulinio dangtis,Korpusas išvalytas dangtis įstatytas į vieta laikosi stabiliai.,2016/02/23,10:05
12,2016/02/23,09:50,Jaruzalės g.16,Algis,Atviras šulinys žaliojoje vejoje netoli namo.,Uždengtas tuo pačiu dangčiu kuris gulėjo šalia.,2016/02/23,10:45
13,2016/02/23,10:05,Ramybės g.17,BPC,Iškeltos trapų grotelės važ. dalyje.,Trapų grotelių korpusas išvalytas grotelės įstatytos į vieta.,2016/02/23,10:35
14,2016/02/23,10:15,Žolyno/Stadiono g. sank.,,Važ. dalyje duobė.,"Laikinai užpilta frezuotu asfaltu (0,1m3) Prie šulinio V. vandenų avarinės.",2016/02/23,
15,2016/02/23,10:30,Savanorių pr.46,Mačiulis,Ties įvažiavimu atviras šulinys.,Korpusas išvalytas dangtis įstatytas į vieta laikosi stabiliai.,2016/02/23,11:05
16,2016/02/23,10:40,Erfurto g.48,El. paštas                      A. Ribokas,Šaligatvyje pavojingai pasviręs šulinys.,"Nuvykus į vieta nustatyta, kad šulinys LN. reikalingas remontas. Pastatyta vert. Gairė.",2016/02/23,
17,2016/02/23,10:55,D. Girėno g.93,Vitalikas,Važ. gatvės dalyje  duobės.,Užasfaltuota šaltu asfaltu sunaudota (75kg),2016/02/23,12:15
18,2016/02/23,11:10,Rinktinės g.13,Nuotekų avarinė,Darbai atlikti.,"Laikinas ženklas paimtas, išvežtas.",2016/02/23,
19,2016/02/23,11:30,Viršuliškių g.37,Viržonas,"Kiemę mašimų stovėjimo aikštelė, praviras šulinys.",Uždengtas tuo pačiu dangčiu.,2016/02/23,12:49
20,2016/02/23,11:55,Ukmergės/G. Vilko sankrža.,Policija,Autoįvykis.,Duženos surinktos išvežtos išsilieją tepalai išvalyti sunaudota (10KG) sauso sorbento ir (3lit) skysto.,2016/02/23,12:30
21,2016/02/23,12:08,Žemaitės/Savanorių pr sankr.,BPC,Praviras šulinys važiuojamoje dalyje.,"Nuvykus į vieta  nustatyta, kad šulinys V. energijos nestabiliai laikosi dangtis korpuse. Pastatyta (2vnt) vert. Gairių",2016/02/23,
22,2016/02/23,12:22,Stanevičiaus g.22,,Iš šulinio teka nuotekos,Informacija perduota.,2016/02/23,
23,2016/02/23,12:26,Justiniškių g.14,Policija,Autoįvykis.,"Duženos surinktos .išvežtos, išsilieją tepalai išvalyti sunaudota (10kg ) sauso ir (5lit.) skysto sorbento.                 Sulankstyti atitvarai.",2016/02/23,13:15
24,2016/02/23,12:49,Slėnio g.,BPC,Ties tvenkiais nuvirtęs medis. ,Patrauktas į kelkraštį eismui netrukdo.,2016/02/23,
25,2016/02/23,13:00,Kirtimų g.69,BPC,"Važ. kelio dalyje didelė , gili  duobė.","Užpilta frezuotu asfaltu. (1,2m3)",2016/02/23,13:45
26,2016/02/23,13:09,D. Girėno. 20,BPC,Važ. dalyje duobės,Užasfaltuota šaltu asfaltu (200kg),2016/02/23,14:19
27,2016/02/23,14:25,Tūkstantmečio g važ link Oro uosto po viaduku,Važiuojant pastebėta,Važ. dalyje duobės,Užasfaltuota šaltu asfaltu (75kg),2016/02/23,14:30
28,2016/02/23,14:27,"Gabijos/Pašlaičių sankryža,",Autobuso vairuotojas,"Nulaužtas kelio ženklas ""PĖSTIEJI"" trukdo eismui.","Nulaužtas ženklas ""PĖSTIEJI""padėtas ant žalios vejos.",2016/02/23,
29,2016/02/23,14:35,Juodasis kelias nedavažiavus apsisukimo žiedo autobusų.,,Darbai atlikti.,"Laikinas ženklas paimtas, išvežtas.",2016/02/23,
30,2016/02/23,14:39,Eišiškių pl./Raistelių sankryža.,Jaronimas,Važ. kelio dalyje duobė.,Užasfaltuota šaltu asfaltu (50kg),2016/02/23,15:45
31,2016/02/23,14:42,Panevėžio g.25,BPC,Važ. gatvės dalyje prie šulinio įgriuva.,"Nuvykus į vieta nustatyta ,kad nusėdęs LN šulinys Pastatyta vert. Gairė.",2016/02/23,16:00
32,2016/02/23,14:45,Ozo g. ir Siesikų g. sankryža.,El.paštas                         G. Niaura,Ant laidų kabo užmesti batai.,Informacija perduota ,2016/02/23,
33,2016/02/23,14:55,Paribio g.30,El.paštas                         G. Niaura,Šalia 45-to namo ant šaligatvio guli betoninis stulpas.,"Stulpas atitrauktas, pėstiesiems netrukdo.",2016/02/23,15:24
34,2016/02/23,15:20,Kanto g.23-26,Tupikov,Sudužo termometras.,Paimtas. Išvežtas.,2016/02/23,
35,2016/02/23,15:40,Savanorių pr.176,Vairuotojas,Važ . Gatvės dalyje mėtosi sulaužytas kelio ženklas.,"Sulaužytas ženklas paimtas, išvežtas. Vietoj sulaužyto ant šulinio pastatyta nauja vert. Gairė. ",2016/02/23,16:19
36,2016/02/23,16:00,Laisvės pr.43-231,Šimkūnaitė,Sudužo termometras,"Paimtas,išvežtas.",2016/02/23,18:00
37,2016/02/23,16:04,Minties g.54,112,Mašinų stovėjimo aikštelėje išsilieja tepalai iš automobilio valst. Nr.IKH-647,Išvalyti sunaudota (5lit) skysto sorbento.,,17:35
38,2016/02/23,16:25,Gabijos g.83,BPC,Važ. link Ukmergės g. važiuojamoje dalyje išsilieją tepalai.,Išsilieja tepalai išvalyti sunaudota (5lit) skysto sorbento.,2016/02/23,17:50
39,2016/02/23,16:34,Panevėžio g.29,,Važ. dalyje duobės.,Užasfaltuota šaltu asfaltu. (50kg),2016/02/23,17:00
40,2016/02/23,17:00,Šiltnamių g.40-48,Tarbūnas,Sudužo termometras,"Paimtas, išvežtas.",2016/02/23,18:30
41,2016/02/23,17:15,Panevėžio g.27,Važiuojant pastebėta,Važ. dalyje duobė.,Užasfaltuota šaltu asfaltu. (25kg),2016/02/23,17:30
