Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/05,06:50,Naugarduko g. 99 važiuojant   link Vilkpedės g.,(Pastebėta pravažiuojant),Ant šaligatvio kartoninė dėžė.,Paimta ir išvežta.,2016/03/05,07:05
2,2016/03/05,07:15,Tūkstantmečio g. važiuojant nuo oro uosto pravažiavus nuvažiavimą link Gerosios Vilties g. (trys vertikalios gairės),,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.03.01).,"Remonto darbai atlikti, trys vertikalios gairės paimtos ir išvežtos.",2016/03/05,07:25
3,2016/03/05,07:40,Liepkalnio g. ant žiedo link Salininkų,Valerij,Važ. dalyje plastmasinės duženos.,Plastmasinės duženos surinktos ir išvežtos.,2016/03/06,08:05
4,2016/03/05,08:15,Liepkalnio g. link miesto,(Pastebėta pravažiuojant),Važ. gatvės dalyje rato gaubtas.,Paimtas ir išvežtas.,2016/03/05,08:24
5,2016/03/05,08:40,Taikos g. 233,BPC ,Žal. vejoje praviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. Šulinys uždengtas nustumtu g/b dangčiu.",2016/03/05,08:55
6,2016/03/05,09:05,Metalo g. 11,VPK ,"Važ. dalyje atviras šulinys, dangtis nustumtas.","Nurodytu adresu aptiktas atviras LN trapas. LN trapo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/03/05,09:30
7,2016/03/05,09:20,Justiniškių g. link Šešuolių g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje šaligatvio plytelių duženos.,Betoninės duženos      surinktos ir išvežtos.,2016/03/05,09:40
8,2016/03/05,09:45,Šešuolių g. 9,(Pastebėta pravažiuojant),Žal. vejoje lengvojo automobilio padanga.,Paimta ir išvežta.,2016/03/05,09:55
9,2016/03/05,10:00,Sukilėlių g. už Rasų kapinių,BPC ,Važ. gatvės dalyje medinės nuolaužos.,Aptiktos kaldytų malkų liekanos surinktos ir išvežtos.,2016/03/05,10:20
10,2016/03/05,10:30,"Centrinių Vilniaus gatvių apvažiavimas
UAB „Grinda“ direktoriaus įsakymas
 Nr. V 269
",,"Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais.

","Goštauto g., Žygimantų g. ir Kosciuškos g.         patikrintos-tvarkingos, šiukšliadėžės neperpildytos.",2016/03/05,11:00
11,2016/03/05,10:45,Laisvės pr. 42,,Žal. vejoje prie šulinio formuojasi įgriuva.,"Nustatyta, kad įgriuva formuojasi prie FN šulinio. Pastatyta signalinė tvorelė. Informacija perduota.",,
12,2016/03/05,11:05,Laisvės pr. link Lazdynų prie požėminės pesčiųjų perėjos,(Pastebėta pravažiuojant),Važ. gatvės dalyje stiklų duženos.,Stiklų duženos             surinktos ir išvežtos.,2016/03/05,11:15
13,201.03.05,11:25,Žėručio g. 25,BPC,Važ. dalyje bilda šulinio dangtis.,"LN šulinio dangtis įstatytas į korpusą, laikosi tvirtai.",2016/03/05,11:40
14,2016/03/05,11:55,Architektų g./Erfurto g. sankrž.,(Pastebėta pravažiuojant),Važ. gatvės dalyje prie salelės              rato gaubto duženos.,Rato gaubto duženos surinktos ir išvežtos.,2016/03/05,12:10
15,2016/03/05,12:15,Žalgirio g. prie posūkio link Linkmėnų g. ,VPK ,Važ. dalyje žibintų duženos.,Žibintų duženos          surinktos ir išvežtos.,2016/03/05,12:35
16,2016/03/05,12:30,Laisvės pr. leidžiantis nuo kalno                     link Savanorių pr.,(Pastebėta pravažiuojant),Žal. vejoje lengvojo                   automobilio padanga.,Padanga paimta ir išvežta.,2016/03/05,12:45
17,2016/03/05,12:49,Parko g. 17       ,,Įvaiuojant į kiemą nestabilus šulinio dangtis.,"FN šulinio dangtis įstatytas į korpusą, laikosi tvirtai. ",2016/03/05,13:15
18,2016/03/05,13:25,Parko g. už 20m iki sankrž. su Pergalės g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje skardos fragmentas.,Paimtas ir išvežtas.,2016/03/05,13:30
19,2016/03/05,13:40,Graičiūno g. 26,BPC ,Gatvėje praviras šulinys.,"Nurodytu adresu aptiktos įšstumtos iš korpuso LN trapo plastmasinės grotelės. LN grotelės įstatytos į korpusą, laikosi tvirtai.",2016/03/05,14:05
20,2016/03/05,14:10,O.Milašiaus g. po viaduku link Nemenčinės,Antanas,Važ. dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/03/05,14:30
21,2016/03/05,14:25,Graičiūno g. įšvažiuojant į Galvės g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje plastmasinės nuolaužos.,Surinktos ir išvežtos.,2016/03/05,14:39
22,2016/03/05,14:50,Trinapolio g. 9A,Ramūnas,Šalia kelio atviras šulinys.,"Nustatyta, kad šulinys priklauso VV tinklams. Šulinys uždengtas nauju g/b dangčiu. Informacija perduota.Vakare VV avarinės darbotuojai gražino          naują g/b dangtį.",,
23,2016/03/05,15:10,Galvės g./Vilijos g. sankrž.,(Pastebėta pravažiuojant),Ant posūkio važ. gatvės dalyje nulūžusi medžio šaka.,Nulūžusi medžio šaka patraukta nuo važ. dalies.,2016/03/05,15:20
24,2016/03/05,15:30,Dzūkų g. 30,FN avarinė disp. Mikalauskaitė,Žal. vejoje LN šulinys pilnas smėlio.,Nurodytu adresu šulinys pilnas smėlio neaptiktas. LN šulinys uždengtas nustumtu g/b dangčiu.,2016/03/05,15:45
25,2016/03/05,15:55,Didlaukio g./Kalvarijų g. sankrž.,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.03.01).,"Remonto darbai atlikti, vertikali gairė paimta.",2016/03/05,16:04
26,2016/03/05,16:15,Panerių g./Vytenio g. sankrž.,(Pastebėta pravažiuojant),Važ. gatvės dalyje prie salelės plastmasinio vamzdžio fragmentas.,Paimtas ir išvežtas.,2016/03/05,16:25
27,201603.05,16:34,Žaliųjų Ežerų g. /Popieriaus g. sankrž     už 1 km link miesto,BPC ,"Važ. dalyje automobilis SAAB,          valst. Nr. FRR 143 numušė stirną.","Budintis ekipažas nuvažiavo į įvykio vietą. Pagal gautą iš liudininkų informaciją partrenkta stirną paėmė automobilis VW GOLF,   valst. Nr. FND 402",2016/03/05,17:10
28,2016/03/05,17:05,Stanevičiaus g. 18,BPC ,Kiemo važ. dalyje nestabiliai laikosi šulinio dangtis.,"FN šulinio dangtis įstatytas į korpusą, laikosi tvirtai. ",2016/03/05,17:35
29,2016/03/05,17:20,"Žaliųjų Ežerų g. važiuojant link miesto autobusų sust. ,,Ežerėliai""",(Pastebėta pravažiuojant),Važ. dalyje prie paviljono stiklo taros duženos.,Stiklo taros duženos surinktos ir išvežtos.,2016/03/05,17:45
30,2016/03/05,17:40,Stanevičiaus g. 18,(Pastebėta pravažiuojant),Kieme važ. dalyje išsiliejusio             tepalo dėmė.,"Išsiliejusio tepalo dėmė neutralizuota, panaudota skysto serbento (2l).",2016/03/05,17:55
31,2016/03/05,18:00,Jonažolių g. 6-58     ,Juozas,Sudužęs termometras su gyvsidabriu.,Sudužęs termometras su gyvsidabriu paimtas ir nuvežtas utilizavimui.,2016/03/05,18:25
32,2016/03/05,18:10,Fabijoniškių g. 1,(Pastebėta pravažiuojant),Važ. gatvės dalyje nulūžusi medžio šaka.,Paimta ir išvežta.,2016/03/05,18:15
33,2016/03/05,18:40,Šiltnamių g. važiuojant link Oslo g.,(Pastebėta pravažiuojant),Važ. dalyje guminis kilimėlis.,Paimtas ir išvežtas.,2016/03/05,18:50
34,20165.03.05,19:00,Rokantiškių g./Pupojų g. sankrž.,,Važ. dalyje šaligatvio trinkelių duženos.,Trinkelių duženos       surinktos ir išvežtos.,2016.0.05,19:30
35,2016/03/05,19:20,Žemynos g. 39,BPC ,"Žal. vejoje prie automobilių stovėjimo ,,kišenės"" praviras šulinys.",FN šulinys uždengtas nustumtu dangčiu.,2016/03/05,19:45
36,2016/03/05,19:30,"Centrinių Vilniaus gatvių apvažiavimas
UAB „Grinda“ direktoriaus įsakymas
 Nr. V 269
",,"Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais.

","Goštauto g., Žygimantų g. ir Kosciuškos g. patikrintos, iš perpildytų šiukšliadėžių surinkti ir išvežti du maišai buitinių atliekų.        ",2016/03/05,20:15
37,2016/03/05,19:50,Šilo g. 30,(Pastebėta pravažiuojant),Važ. gatvės dalyje buitinių atliekų konteineris.,Buitinių atliekų konteineris nustumtas į vietą.,2016/03/05,20:05
38,2016/03/05,20:25,Naugarduko g./  Mindaugo g. sankrž.,(Pastebėta pravažiuojant),Ant šaligatvio kartono liekanos.,Kartono liekanos surinktos ir išvežtos.,2016/03/05,20:40
39,2016/03/05,21:10,Upės g. 21 važiuojant link Vytauto g.,BPC ,Gatvėje nuversti kelio ženklai.,Nuverstos prie vykdomų statybų vertikalios gairės pastatytos į vietą.,2016/03/05,21:30
40,2016/03/05,21:50,Geležinio Vilko g. link Savanorių pr.,(Pastebėta pravažiuojant),Po viaduku važ. gatvės  dalyje prie atitvarų plastmasinis bakelis.,Paimtas ir išvežtas.,2016/03/05,22:00
41,2016/03/05,23:20,Gedvydžių g. 17 arčiau   S. Neries g. ,Andrius,Prie pesčiųjų perėjos žibintų duženos.,Žibintų duženos surinktos ir išvežtos.,2016/03/05,23:45
42,2016/03/06,0.010417,Verkių g. link Verkių dvaro už malūno miške,BPC ,"Autoįvykis. Važ. dalyje plastmasinės duženos, išsilieję tepalai.","Plastmasinės duženos surinktos ir išvežtos. Išsilieję tepalai ir aušinimo skystis neutralizuoti, panaudota sauso serbento (10 kg).",2016/03/06,0.034722
43,2016/03/06,0.048611,Verkių g. žiedas prie autobusų parko,(Pastebėta pravažiuojant),Važ. gatvės dalyje rato gaubto nuolaužos.,Surinktos ir išvežtos.,2016/03/06,0.055556
44,2016/03/06,05:30,Vilkpėdės g.  kylant į kalną,(Pastebėta pravažiuojant),Važ. gatvės dalyje sunkvežimio duslintuvo fragmentas.,Paimtas ir išvežtas.,2016/03/06,05:40
