Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/29,07:03,Džiaugsmo g. (150m. Iki sankryžos su Pergalės g.),VPK,Silikatinių plytų duženos važiuojamje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,07:29
2,2016/02/29,07:37,"Juodasis kelias (St. ,,Guriai"")",,Važiuojamoje gatvės dalyje pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/02/29,07:43
3,2016/02/29,07:41,Žaliųjų Ežerų g. (Prie ežero),BPC,Sužeistas gyvūnas kelkraštyje.,Nurodytu adresu gyvūno nepastebėta.,2016/02/29,08:11
4,2016/02/29,08:09,Žirmūnų g. 64,,Plastmasinės nuolaužos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,08:37
5,2016/02/29,08:41,Pelesos g. 83,BPC,Praviras šulinys važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/02/29,09:10
6,2016/02/29,08:56,Karačiūnų g. ,,Slidi kelio danga.,Informacija perduota.,,
7,2016/02/29,09:08,Laisvės/Pašilaičių g. sankryža,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,09:40
8,2016/02/29,10:12,Maironio/Užupio g. sankryža,BPC,Skilęs šulinio dangtis ant šaligatvio.,Nurodytu adresu skilusio dangčio nepastebėta.,2016/02/29,10:32
9,2016/02/29,10:52,Pamėnkalnio/Tauro g. sankryža,Niaura,Įgriuvusios šaligatvio plytelės prie LN trapo.,Pastatyta tvorelė. Informacija perduota.,,
10,2016/02/29,10:56,Tilto g. 1,Aurelija,Termometras su gyvsidabriu.,Pranešėjas nekelia ragelio. ,2016/02/29,11:20
11,2016/02/29,10:58,Liepkalnio/Žirnių g. sankryža,Vizbaras,Neveikia šviesoforas.,Informacija perduota.,,
12,2016/02/29,11:14,Savanorių pr. 129,BPC,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,11:40
13,2016/02/29,11:29,Kalvarijų g. 84,BPC,Avarinė duobė važiuojamoje gatvės dalyje.,"Duobė (60x80cm. H10cm.) laikinai užtaisyta frezuotu asfaltu. Sunaudota 0,1m³. Informacija perduota.",,
14,2016/02/29,11:32,Naugarduko g. 50,,Pilnas šulinys įvažiavime į kiemą.,Nurodytu adresu pilnų ųulinių nepastebėta. Pranešėjas atsisakė nurodyti šulinį.,2016/02/29,11:55
15,2016/02/29,11:35,Kęstučio g. 24A,BPC,Iš automobilio teka kuras.,Kuras išvalytas. Sunaudota 6ltr. Skysto ir 10kg. Sauso sorbento.,2016/02/29,12:10
16,2016/02/29,12:16,Basanavičiaus g. 21,BPC,Sulaužytos LN trapo grotelės.,LN trapas. Uždengtas naujomis metalinemis(56x38cm.) grotelėmis.,2016/02/29,12:49
17,2016/02/29,12:53,Liepkalnio/Žirnių g. sankryža,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,13:25
18,2016/02/29,13:21,Druskio g. 11,,Atviras šulinys žalioje vejoje.,FN šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/29,13:46
19,2016/02/29,13:52,Žirmūnų/Lukšio g. sankryža,VPK,Statybinės šiukšlės važiuojamoje gatvės dalyje.,Šiukšlės surinktos ir išvežtos. Gatvė išvalyta.,2016/02/29,14:19
20,2016/02/29,14:25,Kazlausko g. 21,Repeckaitė,Atviri šuliniai žalioje vejoje.,"LN šulinys uždengtas nauju g/b dangčiu. VV šulinys laikinai uždengtas sulaužytu g/b dangčiu, pastatyta tvorelė. Informacija perduota.",,
21,2016/02/29,14:39,Pedagoginio žiedo tiltas,,Įrašas 2016.02.23d. Patikrinti bonus.,"Bonai patikrinti, švarus.",2016/02/29,14:59
