Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/16,06:54,Minsko pl. / Gurių g.,VPK,Sulankstytas metalinis kibiras gatvės važiuojamoje dalyje,Paimta ir išvežta,2016/02/16,07:19
2,2016/02/16,07:30,"Žiupronių g.                    < 2016.02.08 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,< Išjudintas TEO tinklų šulinys važiuojamoje gatvės dalyje >                 [vertikali gairė],Patikrinta. Remonto darbai neatlikti.,2016/02/16,07:35
3,2016/02/16,07:48,Drujos g. 2,,"Buitinio stiklo duženos ir buitinės šiukšlės važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/02/16,08:00
4,2016/02/16,08:00,Katedros aikštė,Jurgutis Paulius,Pristatyti į Katedros aikštę 100 vnt. tvorelių ir sustatyti pagal planą,"Tvorelės (100 vnt.) pristatytos ir sustatytos pagal planą. Papildomai 1,5 val. dirbo: trys kelio darbininkai ir automobilis MAN, valst. Nr. CBC 511",2016/02/16,09:30
5,2016/02/16,08:20,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 2 maišai buitinių šiukšlių,2016/02/16,09:10
6,2016/02/16,08:40,"Oslo g. (link Gariūnų, ant tilto)",BPC,Metalinio vamzdžio fragmentas gatvės važiuojamoje dalyje,Paimta ir išvežta,2016/02/16,08:55
7,2016/02/16,09:12,Šilnamių g. / Bukčių g.,,Akmuo gatvės važiuojamoje dalyje [pastebėta važiuojant],Paimta ir išvežta,2016/02/16,09:17
8,2016/02/16,09:20,"Žolyno g. 36                    < 2016.02.08 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,< Prasėdęs TEO tinklų šulinys važiuojamoje gatvės dalyje >                               [vertikali gairė],Patikrinta. Remonto darbai neatlikti.,2016/02/16,09:25
9,2016/02/16,09:25,Šaltkalvių g. 48,BPC,Atviras šulinys žaliosios vejos zonoje,LN tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/02/16,09:48
10,2016/02/16,10:00,Naugarduko g. 53,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/02/16,10:05
11,2016/02/16,10:15,"Pylimo g. 36                    < 2016.02.12 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,< Įgriuva šaligatvyje prie FN tinklų linijos>                                                    [tvorelė],Patikrinta. Remonto darbai atlikti. Tvorelė paimta.,2016/02/16,10:20
