Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/28,06:55,Dariaus ir Girėno g. / Eišiškių pl.,BPC,Negyvas katinas važiuojamoje gatvės dalyje,Nurodytu adresu negyvo katino nerasta,2016/02/28,07:19
2,2016/02/28,07:30,"Savanorių pr. 174
< 2016.02.24 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"Prasėdęs VV Vandentiekio tinklų šulinys važiuojamoje gatvės dalyje
(vertikali gairė)","Patikrinta. Remonto darbai atlikti, laikinas ženklas paimtas.",2016/02/28,07:35
3,2016/02/28,07:45,"Savanorių pr. 119A
< 2016.02.24 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"Įvažiavime rastas sulaužytas LN tinklų trapas Nr. 102A.
(tvorelės (2 vnt.) ir STOP juosta)","Patikrinta. Remonto darbai atlikti, laikini ženklai paimti.",2016/02/28,07:50
4,2016/02/28,08:09,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 1 maišas buitinių šiukšlių,2016/02/28,09:00
5,2016/02/28,08:30,Minsko pl. (priešais Maxima),BPC,Važiuojamoje gatvės dalyje išmėtytos statybinio padėklo liekanos,"Surinkta ir išvežta, vieta išvalyta",2016/02/28,08:50
6,2016/02/28,09:00,Liepkalnio g. 8,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/02/28,09:05
7,2016/02/28,09:14,Fabijoniškių g. 91,Andrej,Negyvas katinas važiuojamoje gatvės dalyje,Katino lavonas perduotas Beglobių gyvūnų karantino tarnybai (BGKT),2016/02/28,09:44
8,2016/02/28,09:30,Geležinkelio g. / Švitrigailos g.,VPK,Stiklo duženos važiuojamoje gatvės dalyje,"Surinkta ir išvežta, vieta išvalyta",2016/02/28,09:50
9,2016/02/28,10:05,Panerių g. 45,,"Plastiko liekanos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/02/28,10:15
10,2016/02/28,10:26,Naugarduko g. 53,,"Tepaluotas skuduras važiuojamoje gatvės dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/02/28,10:31
11,2016/02/28,10:40,"Vakarinis aplinkkelis
(link Lazdynų)",BPC,Kliūtis gatvės važiuojamoje dalyje,"Automobilio bamperio liekanos važiuojamoje gatvės dalyje
Surinkta ir išvežta, vieta išvalyta",2016/02/28,11:05
12,2016/02/28,11:14,Architektų g. 86,,"Buitinio stiklo duženos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/02/28,11:25
13,2016/02/28,11:33,Jonažolių g. 13,BPC,Atviras šulinys žaliosios vejos zonoje,LN tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/02/28,11:52
14,2016/02/28,12:00,Šiltnamių g. 26A,,"Padanga gatvės kelkraštyje
[pastebėta važiuojant]",Paimta ir išvežta (1 vnt.),2016/02/28,12:06
15,2016/02/28,12:15,Eigulių g. 14,,"Linoleumo atraižos gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/02/28,12:20
16,2016/02/28,12:32,S. Batoro g. / Rudens g.,VPK,Važiuojamoje gatvės dalyje ir kelkraštyje išmėtyti praplyšę plastikiniai maišai su buitinės šiukšlės,"Surinkta ir išvežta, vieta išvalyta",2016/02/28,12:55
17,2016/02/28,13:05,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 1 maišas buitinių šiukšlių,2016/02/28,13:54
18,2016/02/28,13:20,Rinktinės g. 13-120,Aistė,"Pranešė, kad nori perduoti sudaužyto buitinio termometro su gyvsidabriu liekanas",Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui,2016/02/28,13:50
