Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/10,07:02,Tūkstantmečio g. važiuojant link Kirtimų,BPC,Važ. dalyje kliūtis (medienos nuolaužos),"Medienos nuolaužos surinktos, išvežtos.",2016/03/10,07:45
2,2016/03/10,07:30,Žirmūnų g.48,Jankauskas,Atviras šulinys žaliojoje vejoje prie automobilių st. aikštelės.,Uždengtas tuo pačiu dangčiu.,2016/03/10,08:09
3,2016/03/10,07:54,Rinktinės g.13,BPC,Negyvas katinas šaligatvyje.,Nuvykus pagal adresą negyvo katino nerasta.,2016/03/10,
4,2016/03/10,08:05,Kranto g.19 ir 23,Nedeckas,Važ. dalyje duobės.,Užasfaltuota šaltu asfaltu sunaudota (125kg) šalto asfalto.,2016/03/10,09:15
5,2016/03/10,08:09,Apkasų g. 21,Savickienė,Užsikimšęs LN trapas prie pėsčiūjų perėjos.,Rankiniu būdu pravalyti negalėjom.,2016/03/10,
6,2016/03/10,08:15,Justiniškių g.124,Policija,Autoįvykis,"Duženos surinktos, išvežtos, išsiliejąs tepalas išvalytas sunaudota (5kg) sauso sorbento.",2016/03/10,09:00
7,2016/03/10,08:30,Pelėsos g.35,Policija,Važ. gatvės dalyje duobės,Užasfaltuota šaltu asfaltu sunaudota (75kg) šalto asfalto.,2016/03/10,09:40
8,2016/03/10,08:30,D. Girėno g.išvažiavimas iš taksi parko.,Policija,Važ. dalyje  duobės.,"Užtaisyta frezuotu asfaltu (0,8m3)",2016/03/10,10:10
9,2016/03/10,09:05,Lizdeikos g.2,,Važ. gatvės dalyje praviras šulinys.,Trapų grotelės ir korpusas išvalytas. Grotelės įstatytos į vieta.,2016/03/10,09:50
10,2016/03/10,09:15,Dunojaus/Rasų sank.,BPC,Šiukšlės statybinės važ dalyje iškritusios.,"Šiukšlės surinktos, išvežtos vieta išvalyta.",2016/03/10,10:15
11,2016/03/10,09:42,Jakšto g.13,,Įgriuva prie namo sienos prie lietaus nuotekų,"Pastatyta tvorė ir apjuosta ""STOP"" juosta.",2016/03/10,
12,2016/03/10,09:55,G. Vilko g.įsukant į Goštauto g.,G. Niaura,Iš šaligatvio plytelių kyšo armatūros gabalai.,"Sutvarkyta. (nupjauti, išvežti)",2016/03/10,11:00
13,2016/03/10,10:15,Šiltnamių g.42-28,Pečiukonienė,Sudužo termometras,"Paimtas, išvežtas.",2016/03/10,13:00
14,2016/03/10,10:46,Metalo g.4,BPC,Šulinio dangtis juda korpuse važ. dalyje.,Korpusas šulinio išvalytas dangtis įstatytas į vieta laikosi stabiliai.,2016/03/10,00:00
15,2016/03/10,10:55,Žirnių g.13,Policija,Padangos išmestos kelkraštyje.,"Paimtos, išvežtos (2vnt)",2016/03/10,11:20
16,2016/03/10,11:35,Žirnių g.,važiuojant pastebėta.,Kartoninės dėžės šaligatvyje.,Paimtos išvežtos.,2016/03/10,11:40
17,2016/03/10,12:04,Šaltkalvių g.24,važiuojant pastebėta.,Duslintuvo dalis,Paimtas išvežtas,2016/03/10,12:06
18,2016/03/10,12:38,Liepkalnio g.4,BPC,Atviras šulinys žaliojoje vejoje prie namo.,Uždengtas tuo pačiu G/B dangčiu.,2016/03/10,13:20
19,2016/03/10,13:00,Plytinės g.27,Nevardauskas,Važ. dalyje betono gabalai.,"Surinkti, išvežti.",2016/03/10,13:45
20,2016/03/10,13:08,Lydos g.5,BPC,Iš automobilio ištekėjęs dizelinas aikštelėje.,Įšsiliejąs kuras išvalytas. Sunaudota (3kg) sauso ir (1Lit) skysto sorbento.,2016/03/10,14:00
21,2016/03/10,13:25,L. Giros g.86,,Įgriuva prie šulinio kieme.,Įgriuva prie LN trapo. Pastatyta signalinė tvorelė.,2016/03/10,
22,2016/03/10,13:50,Šimulionio g.8,Katrina,Pėsčiūjų take nulūžusi medžio šaka.,Šaka perpjauta nutraukta ant žalios vejos. Kita šaka atlūžusi kabo aukštai pasiekti  negalėjome.,2016/03/10,14:55
23,2016/03/10,14:15,Rybiškių g.62                      Sodų 3-čioji.,K. Pliura,Išsiliejąs tepalas važ. dalyje.,Tepalas neutralizuotas sunaudota (5kg) sauso ir (2lit) skysto sorbento.,2016/03/10,15:30
24,2016/03/10,14:16,Algirdo g.31,BPC,Važ. gatvės dalyje duženos plytų.,"Surinktos, išvežtos gatvė išvalyta.",2016/03/10,15:00
25,2016/03/10,14:19,Žalgirio/ Kareivių sank.,BPC,Šaligatvyje guli partrenktas šuo.,Nuvykus į vieta šuns nerasta.,2016/03/10,
