Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,216.02.26,06:55,Savanorių pr. važiuojant link miesto už 100m iki Riovonių g.                      ,Dmitrij,"Važ. gatvės dalyje kliūtis, daug duženų.",Nurodytu adresu prie remontuojamo VV šulinio  aptiktos sulaužytos dvi signalinės tvorelės ir vertikali gairė. Duženos surinktos ir išvežtos.,,
2,2016/02/26,07:15,Šiaurės g./ Uosių g. sankrž.,BPC ,Važ. gatvės dalyje plastmasinės duženos.,Plastmasinės duženos suroinktos ir išvežtos.,2016/02/26,07:35
3,2016/02/26,07:25,Savanorių pr. /   Vilkpėdės g. sankrž.,(Pastebėta pravažiuojant),Važ. gatvės dalyje rato gaubtas.,Rato gaubtas paimtas ir išvežtas.,2016/02/26,07:30
4,2016/02/22,07:45,Sodų g. link Pylimo g. prie pesčiųjų perėjos ,VPK,Važ. dalyje žibintų šukės.,Žibintų šukės surinktos ir išvežtos.,2016/02/26,08:05
5,2016/02/26,08:09,Olandų g. link Antakalnio žiedo,Gintautas Niaura,Važ. gatvės dalyje prieš pesčiųjų perėją pragriuvęs šulinys.,"Nustatyta, kad šulinys priklauso VV tinklams. Ženklas nestatytas, trukdo eismui. Informacija perduota.",,
6,2016/02/26,08:24,Žiuprionių g. ,BPC ,Važ. dalyje numuštas kelio ženklas.,Laikinai pastatyta vertikali gairė pastatyta į vietą.,2016/02/26,08:40
7,2016/02/26,08:45,"O. Milašiaus g. priešais ,,ORLEAN"" dėg. važiuojant link miesto",Vytautas ,Važ. gatvės dalyje praviras LN trapas.,"LN trapo grotelės įstatytos į korpusą, laikosi tvirtai.",2016/02/26,09:10
8,2016/02/26,09:00,Eišiškių pl./ Metalo g. sankrž.,BPC ,Važ. gatvės dalyje betono duženos.,Betono duženos surinktos ir išvežtos.,2016/02/26,09:20
9,2016/02/26,09:25,Žirmūnų g.               Nr.113 ir Nr. 16          žal. vejoje,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.22).,"Remonto darbai atlikti, dvi signalinės tvorelės paimtos.",2016/02/26,09:40
10,2016/02/26,09:35,Šilo g. 38,Gediminas,Važ. gatvės dalyje prie FN šulinio formuojasi duobė.,Informacija perduota.,,
11,2016/02/26,09:55,Olandų g. link Krivių g.,(Pastebėta pravažiuojant),Važ. gatvės dalyje zuikio gaišėna.,Zuikio gaišėna paimta ir nuvežta į BGKT.,2016/02/26,10:25
