Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/13,07:02,Raistelių g.,"UAB ,,Fegda""",Pavojingai pasvirę medžiai virš važiuojamosios gatvės dalies.,2 nedideli medžiai supjaustyti ir patraukti nuo važiuojamosios gatvės dalies.,2016/02/13,07:40
2,2016/02/13,07:35,Vivulskio g. 10,Antanas,Pilnas FN šulinys kieme.,Informacija perduota.,,
3,2016/02/13,07:54,Saulėtekio al. (Prie iki parduotuvės),VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,08:30
4,2016/02/13,08:24,Belmonto g. 40 (Įvažiavimas iš       Batoro g. 13),BPC,Nuvirtę medžiai važiuojamoje gatvės dalyje.,Miškelyje nuvirto 13 medžių. Medžiai supjaustyti ir patraukti nuo važiuojamosios dalies. Informacija perduota.,2016/02/13,10:28
5,2016/02/13,08:37,Kalvarijų g. 178B,Žukauskienė,Praviras šulinys ant šaligatvio.,LN šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/13,09:15
6,2016/02/13,09:15,Sodų g. 9,BPC,Nuo namo sienos krenta tinkas.,Nuo namo stogo nukritęs sniegas. ,2016/02/13,09:35
7,2016/02/13,09:18,Stanevičiaus g. 53 - 55,Alvydas,Atviras šulinys ant šaligatvio.,Nustumtas LN šulinio korpusas. Korpusas atstatytas į vietą.,2016/02/13,10:20
8,2016/02/13,09:35,Vakarinis aplinkkelis (Apie 1km. Nuo Oslo g. link Karoliniškių),BPC,Didelis akmuo važiuojamoje gatvės dalyje.,Nurodytu adresu akmens nepastebėta.,2016/02/13,09:55
9,2016/02/13,10:28,Kojelavičiaus g. (Nuvažiavimas į Batoro g.),,Važiuojamoje gatvės dalyje pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/02/13, 10:34
10,2016/02/13,10:55,Titnago g. 24 (100m. Nuo Gariūnų g.),BPC,Avarinė duobė važiuojamoje gatvės dalyje.,"Duobė (70x30cm. H10cm.) laikinai užtaisyta frezuotu asfaltu. Sunaudota 0,1m³. Informacija perduota.",,
11,2016/02/13,10:58,Titnago g. 65,Jelena,Avarinė duobė važiuojamoje gatvės dalyje.,"Duobė (100x150cm. H15cm.) laikinai užtaisyta frezuotu asfaltu. Sunaudota 0,15m³. Informacija perduota.",,
12,2016/02/13,11:15,Gardino g. 14,Milošiavičienė,Atviras šulinys žalioje vejoje.,VV šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/13,11:40
13,2016/02/13,11:45,Krivių/Olandų g. sankryža,,Važiuojaoje gatvės dalyje pastebėtas rato gaubtas.,Rato gaubtas paimtas ir išvežtas.,2016/02/13,11:49
14,2016/02/13,11:55,Savanorių pr.,VPK,Krovininio automobilio padanga važiuojamoje gatvės dalyje.,Suplėšyta padanga paimta ir išvežta.,2016/02/13,12:12
15,2016/02/13,12:07,Vaivos g. 1,Jevgenij,Praviras šulinys ant kelkraštyje.,TEO šulinys. Uždengtas tuo pačiu g/b dangčiiu.,2016/02/13,12:40
16,2016/02/13,12:36,Kavoliuko g. 22,BPC,Ant automobilio nuvirto medis.,"Dalyvaujant policijos ekipažui, medis supjaustytas ir patrauktas nuo automobilio ir nuo važiuojamosios gatvės dalies. Reikia išvežti. Informacija perduota.",,
17,2016/02/13,12:52,Naugarduko g. 50,Liucija,Avarinės duobės įvažiavime į kiemą.,"(Įrašas 2016.02.05d.). Duobę pakartotinai užpilėm ta pačia, išplauta skalda. Informacija pakartotinai perduota.",,
18,2016/02/13,12:53," Šaltkalvių g. (Prie ,,Maxima"" parduotuvės)",Liucija,Avarinė duobė važiuojamoje gatvės dalyje.,"2 duobės (70x80cm h8cm.) laikinai užtaisytos frezuotu asfaltu. Sunaudota 0,15m³. Informacija perduota.",,
19,2016/02/13,13:20,Pietario g.  (Prie LRT studijos),BPC,Didelė medžio šaka važiuojamoje gatvės dalyje. Autoįvykis.,Medžio šaka patraukta nuo važiuojamosios gatvės dalies. Reikia išvežti.  Duženos surinktos ir išvežtos. Gatvė išvalyta.,,
20,2016/02/13,13:29,Gedvydžių g. 17,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,13:58
21,2016/02/13,14:05,Paribio/Pienynės g. sankryža,,Važiuojaoje gatvės dalyje pastebėta medžio šaka.,Medžio šaka patraukta nuo važiuojamosios gatvės dalies. ,2016/02/13,14:14
22,2016/02/13,14:19,Laisvės pr. 45,BPC,Kliūtis važiuojamoje gatvės dalyje.,Pastebėtas galinis duslintuvo bakelis. Paimtas ir išvežtas.,2016/02/13,14:43
23,2016/02/13,14:57,Sapiegos g. 17,,Sužeistas katinas važiuojamoje gatvės dalyje.,Nurodytu adresu katino nepastebėta.,2016/02/13,15:20
24,2016/02/13,15:15,Klaipėdos g. 1,,Praviras šulinys važiuojamoje gatvės dalyje.,Nurodytu adresu atvirų šulinių nepastebėta.,2016/02/13,15:42
25,2016/02/13,15:47,Rodūnios kelias 16,VPK,Praviras šulinys važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/02/13,16:12
26,2016/02/13,16:21,Dariaus ir Girėno g. (Nuvažiavimas į Tūkstantmečio g.),,Važiuojamoje gatvės dalyje pastebėta plastmasinė variklio apsauga.,Variklio apsauga paimta ir išvežta.,2016/02/13,16:30
27,2016/02/13,16:34,Juodpio/Rukainių g. sankryža,Gintaras,Keraminių blokelių duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,16:52
28,2016/02/13,16:42,Bebrų g. 26,,Pilnas FN šulinys kieme.,Informacija perduota.,,
29,2016/02/13,16:59,"Šeimniškių g. (,,Prie Šarūno viešbučio"")",VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,17:27
30,2016/02/13,17:34,Braškių/Maumedžių g. sankryža,Krasauskienė,Atviras šulinys žalioje vejoje.,FN šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/13,17:52
31,2016/02/13,17:52,Pamiškio g. 7,Konstantin,Iš vandens kolonėlės pastoviai teka vanduo.,Informacija perduota.,,
32,2016/02/13,17:57,Dzūkų g. 105,Avdevič,Atviras trapas kieme.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/02/13,18:16
33,2016/02/13,18:22,Zanavykų g. 5,,Važiuojamoje gatvės dalyje pastebėtos plastmasinės nuolaužos.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,18:30
34,2016/02/13,18:34,Žaliųjų Ežerų g. (Prie ežero),Jurij,Sužeista stirna važiuojamoje gatvės dalyje.,Nurodytu adresu stirnos nepastebėta.,2016/02/13,19:03
35,2016/02/13,19:00,Linksmoji g. 65,Prudnikov,Atviras šulinys žalioje vejoje.,VV šulinys. Uždengtas tuo pačiu dangčiu.,2016/02/13,19:27
36,2016/02/13,20:15,Kovo 11-osios/Afindevičių g. sankryža,BPC,Avarinė duobė važiuojamoje gatvės dalyje.,"Duobė (100x70cm. H11cm.) laikinai užtaisyta frezuotu asfaltu. Sunaudota 0,15m³. Informacija perduota.",,
37,2016/02/13,21:05,Šaltinių g. 11-2,BPC,Sudužęs termometras su gyvsidabriu.,Termometras paimtas.,2016/02/13,21:33
38,2016/02/13,21:37,"Batoro g. (Žiede, ties Belmonto g.)",VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/13,22:05
39,2016/02/13,22:17,Dvarčionių g. (100m. už Dvarčonių žiedo),Anatolijus,Didelė medžio šaka važiuojamoje gatvės dalyje. Autoįvykis.,Medžio šaka patraukta nuo važiuojamosios gatvės dalies. ,2016/02/13,22:40
40,2016/02/13,23:04,Saulėtekio/Antakalnio g. sankryža,,Važiuojamoje gatvės dalyje pastebėtas skardos lakštas.,Skardos lakštas paimtas ir išvežtas.,2016/02/13,23:30
41,2016/02/14,04:35,Jūratės g. ,VPK,Slidi kelio danga,Informacija perduota.,,
42,2016/02/14,06:01,Ribiškių Didžioji g. 7A,BPC,Nuvirtęs medis važiuojamoje gatvės dalyje.,Medis patrauktas nuo važiuojamosios gatvės dalies.,2016/02/14,
43,2016/02/13,06:24,Rokantiškių g.,Autobusų parkas,Slidi kelio danga,Informacija perduota.,,
