Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/11,07:09,Žemaitės g.9,BPC,Važ. gatvės dalyje praviras šulinys,"Šulinio korpusas išvalytas, dangtis atstatytas į vieta.",2016/02/11,07:45
2,2016/02/11,07:19,Liepkalnio/Žirnių g. sankryža,Policija,Duženos važ. gatvės dalyje,"Duženos surinktos, išvežtos. Gatvė išvalyta.",2016/02/11,08:15
3,2016/02/11,07:40,Paberžės g.9,Vačiulis,Atviras šulinys žalioje vejoje prie namo,Uždengtas tuo pačiu dangčiu.,2016/02/11,08:40
4,2016/02/11,07:54,G. Vilko g.16,,Iškilusios trapų grotelės važ. gatvės dalyje,Trapų grotelės išvalytos įstatytos į vieta.,2016/02/11,08:20
5,2016/02/11,08:11,Pašilaičių g.12,BPC,Važ. gatvės dalyje medienos nuolaužos.,"Surinktos, išvežtos.",2016/02/11,09:05
6,2016/02/11,08:30,Gabijos g.,Važiuojant pastebėta,Plytų duženos,"Surinktos, išvežtos.",2016/02/11,08:35
7,2016/02/11,08:45,Laisvės pr.42,Važiuojant pastebėta,Šiukšlių maišas iškritęs ties požeminę perėja.,"Paimtas, išvežtas",2016/02/11,08:50
8,2016/02/11,08:55,Liubarto g.6,BPC,Atviras šulinys šaligatvyje,Uždengtas tuo pačiu dangčiu.,2016/02/11,09:30
9,2016/02/11,09:15,Subačiaus g.43,,Važ. gatvės dalyje duobės.,"Laikinai užpilta skalda (0,2m3)",2016/02/11,
10,2016/02/11,09:20,Geležinkelio g. važ. link Šv. Stepono.,BPC,Važ.gatvės dalyje duobės,Užpiltos smėlio skaldos mišiniu (0.3m3),2016/02/11,10:20
11,2016/02/11,09:30,Tuskulėnų g.1,Savickienė,Užsikimšęs LN trapas šaligatvyje prie laiptų.,Rankiniu būdu neprasivalo.,2016/02/11,
12,2016/02/11,09:35,Kaminkelio g.10,Bielevskij,Užsikimšęs LN trapas prie mokyklos,"Nuvykus į vieta nustatyta, kad užsikimšęs FK šulinys",2016/02/11,
