Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/08,07:09,Rokantiškių g.,Policijos ekipažas,Didelis kiekis vandens važiuojamoje gatvės dalyje.,Trapas pravalytas. Vanduo suleistas.,2016/03/08,07:43
2,2016/03/08,07:34,Visorių g. 27A,,Atviras šulinys važiuojamoje gatvės dalyje.,"FN šulinys. Uždengtas tuo pačiu dangčiu. Dangtis korpuse laikosi tvirtai, nejuda.",2016/03/08,08:00
3,2016/03/08,07:54,Naugarduko g. 29,,"Užsikimšęs LN trapas, prie 2-os laiptinės.",Trapas pravalytas. Vanduo suleistas.,2016/03/08,08:20
4,2016/03/08,08:01,Vanagėlio g. 7,,"Užsikimšęs LN trapas, automobilių stovėjimo aikštelėje.",Trapas pravalytas. Vanduo suleistas.,2016/03/08,08:35
5,2016/03/08,08:40,Dariaus ir Girėno g. 44,VPK,Autoįvykis. Duženos ir tepalai važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Tepalai išvalyti. Sunaudota 2ltr. Skysto sorbento.,2016/03/08,09:07
6,2016/03/08,08:45,Kalinausko g. 21,Šliteris,Įgriuva prie įėjimo į santakos rūmus. ,Įgriuvusios plytelės prie šilumos tinklų. Pastatytos 3 tvorelės su STOP juosta. Informacija perduota. ,,
7,2016/03/08,08:48,Plimo g. 36,VPK,Avarinė duobė važiuojamoje gatvės dalyje.,"Padaryta iškasa, vyksta remonto darbai. Išplauta skalda. Duobę laikinai užtaisėm ta pačia skalda. ",2016/03/08,09:20
8,2016/03/08,09:05,T. Vaižganto g. 4,Gintautas,Užsikimšęs LN trapas.,Visi trapai tvarkingi.,2016/03/08,09:30
9,2016/03/08,09:26,Kojelavičiaus g. (Už apleistos degalinės į N. Vilnios pusę),,Avarinė duobė važiuojamoje gatvės dalyje.,Duobė prie kelkrasčio. Laikinai užtaisyta frezuotu asfaltu. Sunaudota 1m³. Informacija perduota.,,
10,2016/03/08,09:45,Naugarduoko g. 50,Grigoliunienė,Užsikimšęs LN trapas.,Reikia pravalyti LN linią. Įrašas žurnale. ,,
11,2016/03/08,10:11,Geležinkelio g. (Prie Mcdonalds),VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/08,10:40
12,2016/03/08,10:52,Ševčenkos g. 16,,Įgriuvęs šulinys kieme.,FN šulinys. Pastatytos 2 tvorelės su STOP juosta. Informacija perduota.,,
13,2016/03/08,11:04,Taikos g. 95,"UAB ,,Jurita""","Užsikimšęs LN trapas prie laiptinės, didelė bala.",Reikalingi trapo pravalymo darbai. Įrašas žurnale.,,
14,2016/03/08,11:18,Sausio 13-osios g. 33 ,,"Užsikimšęs LN trapas kieme, prie boilerinės.",Reikalingi trapo pravalymo darbai. Įrašas žurnale.,,
15,2016/03/08,11:34,Dysnos g. 4,,"Važiuojamoje gatvės dalyje yra įdubimai. Po lietaus, pravažiuojant mašinoms, apliejama namo siena ir einantis šaligatviu žmonės.",Nelygi kelio danga. Vietomis susikaupia didesnis kiekis vandens. Informacija perduota.,,
16,2016/03/08,11:45,Upės g. (Prie Forum Palace),BPC,Į upę teka tepalai.,"Nuimti anksčiau pastatyti bonai, pastayti nauji. (5vnt-20m.).",2016/03/08,12:20
17,2016/03/08,12:11,Viršuliškių g. 79-41,,Termometras su gyvsidabriu.,Termometras paimtas.,2016/03/08,12:32
18,2016/03/08,12:23,Gedimino pr. 43-45,BPC,"Įgriuvusios trinkelės važiuojamoje gatvės dalyje, prie pėsčiųjų perėjos.",Įgriuva prie TEO šulinio. Pastatyta vertikali gairė. Informacija perduota.,,
19,2016/03/08,12:24,Giedros g. 32,Baldiekienė,Termometras su gyvsidabriu.,Termometras paimtas.,2016/03/08,13:03
