Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/25,07:05,Antakalnio/Žolyno g. sankryža,,Avarinė duobė važiuojamoje gatvės dalyje.,"Įgriuva prie FN šulinio. Plaikinai užtaisyta frezuotu asfaltu. Sunaudota 0,1m³. Informacija perduota.",,
2,2016/02/25,07:27,Pramonės g. (30m. Už Vilniaus miesto ribos),VPK,Avarinė duobė važiuojamoje gatvės dalyje.,"Vilniaus rajonas. Nukreipta į įnonę ,,Vilniaus regiono keliai"".",2016/02/25,07:29
3,2016/02/25,07:32,Konstitucijos/Kalvarijų g. sankryža,VPK,Autoįvykis. Duženos važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/25,08:03
4,2016/02/25,08:05,Linkmenų g. 15,BPC,Atviras šulinys važiuojamoje gatvės dalyje.,"VV šulinys. Korpusas išvalytas nuo smėlio. Šulinys uždengtas tuo pačiu dangčiu, dangtis korpuse laikosi tvirtai, nejuda.",2016/02/25,08:28
5,2016/02/25,08:11,Ozo/gelvonų g. sankryža,BPC,Sužeistas katinas važiuojamoje gatvės dalyje.,Nurodytu adresu katino nepastebėta.,2016/02/25,08:42
6,2016/02/25,08:52,Gėlių g. 4,BPC,Įgriuvęs šulinys važiuojamoje gatvės dalyje.,"VV šulinys. Juda korpusas. Ženklo nestatėne, nes trukdys eismui. Informacija perduota.",,
7,2016/02/25,09:15,Salininkų g. (Prie geležinkelio pervažos),VPK,Išbarstytos malkos važiuojamoje gatvės dalyje.,Malkos surinktos ir išvežtos. Gatvė išvalyta.,2016/02/25,09:48
8,2016/02/25,10:12,Kalinausko/Mindaugo g. sankryža,BPC,Autoįvykis. Duženos ir tepalai važiuojamoje gatvės dalyje.,Duženos surinktos ir išvežtos. Tepalai išvalyti. Sunaudota 5kg. Sauso sorbento.,2016/02/25,10:50
9,2016/02/25,10:38,Vaduvos g. 36,,Užsikimšęs LN trapas kieme.,Trapas pilnas žemių. Įrašas žurnale.,,
10,2016/02/25,10:40,Gerosios Vilties g. 25,,Užsikimšęs LN trapas kieme.,Trapas pilnas žemių. Įrašas žurnale.,,
11,2016/02/25,10:44,Verkių g. 35,Niaura,Po atliktų remonto darbų liko sulaužyti kelio ženklai.,"Pastebėtas numuštas laikinasis kelio ženklas vertikali gairė. Prie asfalto padaryta išpjova, paruošta asfaltavimui. Vertikali gairė pastatyta į vietą.",2016/02/25,11:24
