Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/01,07:09,"Gedvydžių g. 94, autobusų sust. ,,Fabijoniškių žiedas""",,Autobusų stotelėje sulaužytas autobusų eismo tvarkaraščio skydelis.,Informacija perduota.,,
2,2016/03/01,07:25,Šešuolių g./Justiniškių g. sankrž. link Pašilaičių,R. Jacunskas,Važ. dalyje įgriuvęs šulinys.,"Nustatyta, kad šulinys priklauso FN tinklams. Pastatyta vertikali gairė. Informacija perduota.",,
3,2016/03/01,07:40,Liepkalnio g. po geležinkelių tiltu,BPC ,Važ. gatvės dalyje plastmasinės duženos.,Plastmasinės duženos surinktos ir išvežtos.,2016/03/01,08:05
4,2016/03/01,08:09,Geležinio Vilko g./ Kazlasusko g. sankrž.,VPK,Važ. dalyje pribarstyta smėlio.,Smėlio liekanos surinktos ir išvežtos.,2016/03/01,08:30
5,2016/03/01,08:24,Kauno g./Mindaugo g. sankrž.,(Pastebėta pravažiuojant),Važ. gatvės dalyje rato gaubtas.,Paimtas ir išvežtas.,2016/03/01,08:35
6,2016/03/01,08:50,Bitėnų g. 10,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.06).,"Remonto darbai atlikti, signalinė tvorelė paimta.",2016/03/01,09:00
7,2016/03/01,09:15,Vytenio g. 13,Pileckas,"Kieme avarinės duobės,                   gatvėje bilda trys šuliniai.","Kieme avarinių duobių neaptikta, gatvėje aptiktas vienas FN tinklų bildantys šulinys. Padėtos sandarimo gumos, informacija perduota. ",,
8,2016/03/01,09:35,Genių g. 20,BPC ,Žal. vejoje atviras šulinys.,"Nustumtas FN šulinio dangtis įstatytas į korpusą, laikosi tvirtai.",2016/03/01,09:55
9,2016/03/01,09:50,"Upės g., pravažiavus Gudėlių kaimą",Irena,Žal. vejoje prie gatvės atviras šulinys.,"Nustatyta, kad šulinys priklauso LN tinklams. Šulinys uždengtas nauju g/b dangčiu.",2016/03/01,10:45
10,2016/03/01,10:15,Skydo g. 43,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.26).,"Remonto darbai atlikti, signalinė tvorelė paimta.",2016/03/01,10:25
11,2016/03/01,10:40,S.Batoro g. link miesto,(Pastebėta pravažiuojant),Skiriamojoje žal. vejoje lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/01,10:50
12,2016/03/01,11:00,Pedagoginio Universiteto žiedas prie upės,,"Pastatytų bonų patikrinimas,              (žiųrėti įrašą: 2016.02.23)",Pastatyti bonai patikrinti veikia tvarkingai.,2016/03/01,11:20
13,2016/03/01,11:15,"Oslo g.,  autobusų sust. ,,Šiltnamių""",(Pastebėta pravažiuojant),Važ. gatvės dalyje negyvas šuo.,Negyvas šuo paimtas ir nuvežtas į BGKT.,2016/03/01,11:55
14,2016/03/01,11:35,Verkių g. 44,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.26).,"Remonto darbai atlikti, vertikali gairė paimta.",2016/03/01,11:40
15,2016/03/01,11:55,Ševčenkos g. 27,BPC ,Važ. dalyje bilda šulinys.,"Nustatyta, kad šulinys priklauso VV tinklams. Poiu čiu padėtos sandarios gumos. Informacija perduota.",,
16,2016/03/01,12:15,Juozapavičiaus g. 5,,Važ. dalyje prasėdęs trapas.,Nurodytu adresu aptiktas LN trapas avinės situacijos nesukelia. Įrašas žurnale.,,
17,2016/03/01,12|:30,Tūkstantmečio g. važiuojant nuo oro uosto pravažiavus nuvažiavimą link Gerosios Vilties g.,BPC ,"Važ. dalyje, II-oje eismo juostoje atviras šulinys.","Nustatyta, kad šulinys priklauso LN tinklams. Šulinys uždengtas įšstumtu iš korpuso dangčiu. Šulinio dangtis nestabiliai laikosi šulinio korpuse. Pastatytos trys vertikalios gairės.  Informacija perduota.",,
18,2016/03/01,12:49,Kubiliaus g. 4,Zigmas,Prie įvažiavimo  kiemą važ. dalyje bilda šulinio dangtis.,"Nustatyta, kad šulinys priklauso LN tinklams. Juda šulinio korpusas su dangčiu. Įrašas žurnale.",,
19,2016/03/01,13:05,Kalvarijų g./Didlaukio g. sankrž.,BPC ,Važ. dalyje medinės duženos.,Lentų nuolaužos          surinktos ir išvežtos.,2016/03/01,13:25
20,2016/03/01,13:15,Eigulių g. 27,(Pastebėta pravažiuojant),Važ. gatvės dalyje užsikimšęs LN trapas.,LN trapo grotelės nuvalytos nuo šiukšlių.,2016/03/01,13:34
21,2016/03/01,13:40,Didlaukio g. 48,,Laikinųjų kelio ženklų patikrinimas.  Žiūrėti įrašą (2016.02.26).,"Remonto darbai atlikti, signalinė tvorelė paimta. ",2016/03/01,13:54
22,2016/03/01,14:00,    Laisvės pr. po Architektų g. viaduku,BPC ,Važ. dalyje betono duženos.,Šaligatvio plytelių duženos surinktos ir išvežtos.,2016/03/01,14:15
23,2016/03/01,14:25,Geležinio Vilko g. link tunelio po Pedagoginio universiteto žiedu,(Pastebėta pravažiuojant),Važ. gatvės dalyje plastmasinio            indo liekanos.,Plastmasinio indo liekanos surinktos ir išvežtos.,2016/03/01,14:35
24,2016/03/01,14:50,Eišiškių pl./Burbiškių g. sankrž.,Jackevičius,Važ. dalyje statybinių šiukšlių liekanos.,Statybinių šiukšlių liekanos surinktos ir išvežtos.,2016/03/01,15:15
25,2016/03/01,15:15,Didlaukio g./Kalvarijų g. sankrž.,VPK,"Važ. dalyje pusiau praviras šulinys, autoįvykis.","Nustatyta, kad šulinys priklauso LN tinklams. Šulinio dangtis nestabiliai laikosi korpuse. Pastatyta vertikali gairė. Įrašas žurnale.",,
26,2016/03/01,15:35,"Ateities g. 91 ties PC ,,Mandarinas""",VPK,"Autoįvykis. Važ. dalyje plastmasinės šukės, išsiliejęs aušinimo skystis.","Plastmasinės duženos po autoįvykio surinktos ir išvežtos. Išsiliejęs aušinimo skystis neutralizuotas, panaudota sauso          serbento (10 kg).",2016/03/01,16:25
27,2016/03/01,15:55,Ateities g. po Geležinio Vilko g. viaduku link Pašilaičių,(Pastebėta pravažiuojant),Važ. gatvės dalyje autoįvykis. Automobilis atsitrenkė į viaduko atramą.,Plastmasinės duženos surinktos ir išvežtos.,2016/03/01,16:04
28,2016/03/01,16:30,Titnago g. 13,BPC ,"Prie gatvės, žal. vejoje  atviras šulinys.",FN šulinys uždengtas tuo pačiu dangčiu.,2016/03/01,16:55
29,2016/03/01,16:49,Fabijoniškių g. 8,(Pastebėta pravažiuojant),Važ. gatvės dalyje nulūžusi medžio šaka.,Nulūžusi medžio šaka paimta ir išvežta.,2016/03/01,17:00
30,2016/03/01,17:15,Ukmergės g. link tunelio,(Pastebėta pravažiuojant),Skiriamojoje žal. vejoje lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/01,17:25
