Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
21,2016/03/11,14:30,Žemaitės g. 9,BPC,Pusiau atviras šulinys žaliosios vejos zonoje,FN tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/03/11,14:51
22,2016/03/11,15:00,Gerosios Vilties g. 10,,"Betono gaminių duženos gatvės kelkraštyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/11,15:10
23,2016/03/11,15:19,S. Konarskio g. 49,BPC,Bilda šulinio dangtis važiuojamoje gatvės dalyje,FN tinklų šulinio korpusas nuvalytas nuo smėlio. Dangtis laikosi tvirtai. Nebilda.,2016/03/11,15:38
24,2016/03/11,15:45,Minties g. 13,,"Linoleumo atraižos gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/11,15:52
25,2016/03/11,15:55,Žirmūnų g. 70,Jurgita,Įvažiavime į aikštelė iš Žirmūnų g. pilnas LN tinklų šulinys,Informacija perduota,,
26,2016/03/11,16:10,Gelvonų g. 30,,"Metalinės tvirtinimo juostos fragmentas gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/11,16:15
27,2016/03/11,16:25,"Jeruzalės g. 4
< 2016.02.08 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Įgriuva stovėjimo aikštelėje, važiuojamoje gatvės dalyje virš FN tinklų linijos >
[tvorelės (2vnt.) ir STOP juosta]",Patikrinta. Remonto darbai neatlikti.,2016/03/11,16:30
28,2016/03/11,16:04,Didlaukio g. 42,,"LN tinklų trapas padengtas šiukšlių sąnašomis
[pastebėta važiuojant]",Trapo grotelės nuvalytos nuo šiukšlių sąnašų,2016/03/11,16:10
29,2016/03/11,16:30,Architektų g. 152,VPK,Atviras šulinys važiuojamoje gatvės dalyje,LN tinklų trapo grotelės išstumtos. Grotelės atstatytos. Laikosi tvirtai.,2016/03/11,16:52
30,2016/03/11,17:10,"Bukčių g. 72
< 2015.11.12 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Įgriuva virš šilumos tinklų kameros, stovėjimo aikštelėje >
[tvorelė]",Patikrinta. Remonto darbai neatlikti. Tvorelė vietoje.,2016/03/11,17:15
31,2016/03/11,17:24,Šiltnamių g. 26A,,"Automobilio žibintų duženos važiuojamoje gatvės dalyje
[pastebėta važiuojant] ","Surinkta ir išvežta, vieta išvalyta",2016/03/11,17:35
32,2016/03/11,17:50,Vytenio g. 35,,"LN tinklų trapas padengtas šiukšlių sąnašomis
[pastebėta važiuojant]",Trapo grotelės nuvalytos nuo šiukšlių sąnašų,2016/03/11,18:00
33,2016/03/11,18:16,Fabijoniškių g. / S. Stanevičiaus g. ,BPC,Kliūtis gatvės važiuojamoje dalyje,"Automobilio duslintuvo liekanos važiuojamoje gatvės dalyje
Paimta ir išvežta",2016/03/11,18:40
34,2016/03/11,18:53,Pilaitės pr. (link Pilaitės),Darius,Lentos fragmentas gatvės važiuojamoje dalyje,Nurodytu adresu kliūties važiuojamoje gatvės dalyje nerasta,2016/03/11,19:20
35,2016/03/11,19:33,Smalinės g. 8,,"Akmuo važiuojamoje gatvės dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/11,19:39
36,2016/03/11,19:50,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 1 maišas buitinių šiukšlių,2016/03/11,20:40
37,2016/03/11,20:10,Nemenčinės pl. / Saulėtekio al.,BPC,Tepalo dėmė važiuojamoje gatvės dalyje,Nurodytu adresu tepalo dėmės nerasta,2016/03/11,20:30
38,2016/03/11,20:42,Plytinės g. 25,,"Stiklinės taros duženos gatvės važiuojamoje dalyje
[pastebėta važiuojant]","Surinktos ir išvežtos, vieta išvalyta",2016/03/11,20:55
39,2016/03/11,21:13,Ateities g. 5,BPC,Metalinio strypo fragmentas gatvės važiuojamoje dalyje,paimta ir išvežta,2016/03/11,21:33
40,2016/03/11,21:50,P. Žadeikos g. 1B,,"Ratlankio gaubto liekanos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinktos ir išvežtos, vieta išvalyta",2016/03/11,21:57
41,2016/03/11,22:46,"Nemenčinės pl. (nuo miesto, prie apsisukimo į Turniškės)",VPK,Duobė važiuojamoje gatvės dalyje,"Duobė laikinai užpilta frezuotu asfaltu (0,4 m³)",,
42,2016/03/11,23:35,Taikos g. 98,BPC,Bilda šulinio dangtis važiuojamoje gatvės dalyje,LN tinklų šulinio korpusas nuvalytas nuo smėlio. Dangtis laikosi tvirtai- nebilda.,2016/03/11,23:57
43,2016/03/12,0.004861,Pelesos g. 3,,"Stiklinių butelių duženos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/12,0.013889
44,2016/03/12,0.065278,Savanorių pr.  / Vilkpėdės g.,VPK,"Autoįvykis: 
automobilio žibintų duženos, plastiko liekanos ir išsiliejęs tepalas važiuojamoje gatvės dalyje","Surinkta ir išvežta, tepalas neutralizuotas panaudojant sausą (10 kg ) ir skystą (5 ltr)  sorbentą, vieta išvalyta",2016/03/12,03:00
45,2016/03/12,04:15,Dūmų g. / S. Batoro g.,VPK,Automobilio žibintų duženos ir plastiko liekanos važiuojamoje gatvės dalyje,"Surinkta ir išvežta, vieta išvalyta",2016/03/12,05:23
