Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/11,06:57,S. Batoro g. / Rudens g.,VPK,Stiklo duženos važiuojamoje gatvės dalyje,"Surinkta ir išvežta, vieta išvalyta",2016/03/11,07:21
2,2016/03/11,07:33,"Pergalės g. / Pramonės g.
< 2016.02.04 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Praėdusios šaligatvio plytelės. Miesto komunalinių inžinerinių tinklų prasėdimo vietoje nėra >
[tvorelė]",Patikrinta. Remonto darbai atlikti.,2016/03/11,07:38
3,2016/03/11,07:50,Parko g. 20,VPK,Kliūtis gatvės važiuojamoje dalyje,"Tepaluotas skuduras važiuojamoje gatvės dalyje
paimta ir išvežta",2016/03/11,08:20
4,2016/03/11,08:11,Šilo g. (miške),BPC,Buitinės šiukšlės važiuojamoje gatvės dalyje,"Surinkta ir išvežta, vieta išvalyta",2016/03/11,08:30
5,2016/03/11,08:40,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 1 maišas buitinių šiukšlių,2016/03/11,09:30
6,2016/03/11,08:54,Kęstučio g. 65,VPK,Negyvas katinas važiuojamoje gatvės dalyje,Nurodytu adresu negyvo katino nerasta.,2016/03/11,09:18
7,2016/03/11,09:23,Laisvės pr. / Rygos g.,VPK,"Autoįvykis: 
automobilio žibintų duženos, plastiko liekanos ir išsiliejęs tepalas važiuojamoje gatvės dalyje","Surinkta ir išvežta, tepalas neutralizuotas panaudojant skystą (3 ltr) sorbentą, vieta išvalyta",2016/03/11,09:43
8,2016/03/11,09:55,Justiniškių g. 12,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/03/11,10:00
9,2016/03/11,10:09,Minsko pl. / Gurių g.,Andrius,Padanga važiuojamoje gatvės dalyje,Paimta ir išvežta (1 vnt.),2016/03/11,10:25
10,2016/03/11,10:34,Juodasis kel. 43,,"Metalinė sutraiškyta skardinė talpa gatvės važiuojamoje dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/11,10:39
11,2016/03/11,10:50,"Antakalnio g. tarp Nr. 62 ir Nr. 64
< 2015.12.02 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Įgriūva prie FN šulinio važiuojamoje gatvės dalyje, kieme >
[vertikali gairė]",Patikrinta. Remonto darbai neatlikti. Vertikali gairė vietoje,2016/03/11,10:55
12,2016/03/11,11:05,"Antakalnio g. 44
< 2015.06.29 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Įgriūva tarp namo ir pirmo FN šulinio (~ 80 x 80 cm; h≈  100cm) >
[tvorelės (2 vnt.) ir STOP juosta]",Patikrinta. Remonto darbai atlikti.,2016/03/11,11:10
13,2016/03/11,11:24,R. Jankausko g. 4,BPC,Atviras šulinys žaliosios vejos zonoje,VV Vandentiekio tinklų šulinio dangtis nustumtas. Šulinys uždengtas tuo pačiu dangčiu.,2016/03/11,11:45
14,2016/03/11,11:53,L. Asanavičiūtės g. 12,,"Važiuojamoje gatvės dalyje išmėtytos kartoninės dėžės liekanos
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/11,12:03
15,2016/03/11,12:15,Savanorių pr. 178F,Raimondas,Važiuojamoje gatvės dalyje išmėtytos medinių dėžių liekanos,"Surinkta ir išvežta, vieta išvalyta",2016/03/11,12:37
16,2016/03/11,12:44,Naugarduko g. 100,,"Plastiko liekanos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/03/11,12:57
17,2016/03/11,13:09,"Miesto centras, Senamiesčio ir Užupio rajonai (pagal patvirtintą gatvių sąrašą) UAB „Grinda“ direktoriaus įsakymas Nr.V-269",,Dėl tvarkos mieste užtikrinimo švenčių metu ir savaitgaliais,Gatvės švarios; šiukšlės surinktos iš perpildytų šiukšliadėžių - 2 maišai buitinių šiukšlių,2016/03/11,14:00
18,2016/03/11,13:18,Liepkalnio g. 101,VPK,Važiuojamoje gatvės dalyje ir kelkraštyje išmėtyti praplyšę plastikiniai maišai su buitinės šiukšlės,"Surinkta ir išvežta, vieta išvalyta",2016/03/11,13:42
19,2016/03/11,13:52,Dzūkų g. 95,,"Skardinės nuo alaus gatvės važiuojamoje dalyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/03/11,13:58
20,2016/03/11,14:12,Verkių g. 39,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",paimta ir išvežta,2016/03/11,14:17
