Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/03/04,07:15,Utenos g. 41C,,Laikinųjų kelio ženklų patikrinimas. ,Darbai neatlikti. Informacija pakartotinai perduota. ,,
2,2016/03/04,07:27,Gabijos g. 83,VPK,Išsiliejęs kuras prie įėjimo į parduotuvę.,Kuras išvalytas. Sunaudota 5kg. sauso ir 1ltr. Skysto sorbento.,2016/03/04,07:58
3,2016/03/04,08:09,Gariūnų g. 16A,Semaško,Atviras šulinys žalioje vejoje.,FN šulinys. Uždengtas nauju g/b dangčiu.,2016/03/04,08:37
4,2016/03/04,08:35,Kalvarijų/Ozo g. sankryža,Policijos ekipažas,Statybinės šiukšlės važiuojamoje gatvės dalyje.,Šiukšlės surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,09:03
5,2016/03/04,09:15,Pamėnkalnio/Tauro g. sankryža,,Laikinųjų kelio ženklų patikrinimas. (Įrašas 2016.02.29d.).,Darbai atlikti. Tvorelė paimta.,2016/03/04,09:40
6,2016/03/04,09:27,Kolektyvo g. 36,VPK,Galinis duslintuvo bakelis važiuojamoje gatvės dalyje.,Duslintuvo bakelis paimtas ir išvežtas.,2016/03/04,09:55
7,2016/03/04,09:56,Kazlausko g. 21,,Laikinųjų kelio ženklų patikrinimas. (Įrašas 2016.02.29d.).,Darbai atlikti. Tvorelė paimta.,2016/03/04,10:16
8,2016/03/04,10:20,Lenkų g. 1,,Pilni FN šuliniai bažnyčios teritorijoje.,Informacija perduota.,,
9,2016/03/04,10:27,Pramonės g. (prie pėsčiųjų viaduko),VPK,Betono gabalai važiuojamoje gatvės dalyje.,Betonas surinktas ir išvežtas. Gatvė išvalyta.,2016/03/04,10:55
10,2016/03/04,11:00,"Pramonės g. (prie ,,Tanagros"")",,Ant šaligatvio pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/04,11:08
11,2016/03/04,11:17,Rinktinės g. 45,BPC,Atviras šulinys žalioje vejoje.,VV šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/04,11:42
12,2016/03/04,11:47,Nemenčinės pl. 16,VPK,"Autoįvykis. Duženos važiuojamoje gatvės dalyje,",Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,12:20
13,2016/03/04,12:27,Švitrigailos g. 5,,Bilda šulinio dangtis važiuojamoje gatvės dalyje.,"Korpusas išvalytas nuo smėlio. Dangtis laikoosi tvirtai, nebilda.",2016/03/04,12:55
14,2016/03/04,13:01,Kazliškių g. 21,Marceluskaitė,Įgriuvęs šulinys važiuojamoje gatvės dalyje.,Nurodytu adresu įgriuvusių šulinių nepastebėta.,2016/03/04,13:29
15,2016/03/04,13:27,Giedraičių g. 29,Konstantin,Atviras šulinys žalioje vejoje.,LN šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/04,14:00
16,2016/03/04,13:49,Gerovės g. 11,Untanas,Bilda šulinio dangtis važiuojamoje gatvės dalyje.,"FN šulinys. Korpusas išvalytas nuo smėlio. Dangtis laikoosi tvirtai, nebilda.",2016/03/04,14:19
17,2016/03/04,14:29,Geležinkelio g. (Prie žiedo),,Važiuojamoje gatvės dalyje pastebėtas metalinis strypas.,Strypas paimtas ir išvežtas.,2016/03/04,14:33
18,2016/03/04,14:37,Sietyno g. 8,Policijos ekipažas,Krovininio automobilio padangos liekanos važiuojamoje gatvės dalyje.,Padanga paimta ir išvežta.,2016/03/04,15:04
19,2016/03/04,15:23,Pergalės g. (Tiltas per Vilnelę),BPC,Įgriuvęs asfaltas ir šaligatvis.,Nurodytu adresu įgriuvos nepastebėta.,2016/03/04,15:51
20,2016/03/04,15:49,Bebrų g. 26,,Atviras šulinys žalioje vejoje.,LN šulinys. Uždengtas tuo pačiu dangčiu.,2016/03/04,16:15
21,2016/03/04,16:23,Upės g. 21,,Važiuojamoje gatvės dalyje pastebėtas rato gaubtas.,Rato guaubtas paimtas ir išvežtas.,2016/03/04,16:27
22,2016/03/04,16:25,Oginskio g. 6,,Pilnas FN šulinys.,Informacija perduota.,,
23,2016/03/04,16:38,Pilaitės pr. (Už VSD rūmų),VPK,Kliūtis važiuojamoje gatvės dalyje.,2 mediniai tašeliai paimti ir išvežti.,2016/03/04,17:00
24,2016/03/04,17:13,Lentvario g. 15 (Grigiškės),,Negyva stirna prie kiemo.,Stirna paimta ir nuvežta į BGKT.,2016/03/04,17:55
25,2016/03/04,17:27,Architiektų g. 68,,Į LN trapą įkrito automobilio raktai.,Raktai ištraukti ir gražinti savininkui.,2016/03/04,18:00
26,2016/03/04,17:41,Narbuto/Saltoniškių g. sankryža,VPK,"Autoįvykis. Duženos važiuojamoje gatvės dalyje,",Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,18:10
27,2016/03/04,18:07,Eišiškių pl. 82,BPC,Lentų nuolaužos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,18:30
28,2016/03/04,18:37,Tūkstantmečio g. (Nuvažiavimas į žiedą),,Važiuojamoje gatvės dalyje pastebėtas rato gaubtas.,Rato guaubtas paimtas ir išvežtas.,2016/03/04,18:42
29,2016/03/04,18:37,Šaltkalvių g. 14,,Plastmasinės nuolauos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,19:02
30,2016/03/04,19:07,Taikos g. 12,VPK,"Autoįvykis. Duženos važiuojamoje gatvės dalyje,",Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,19:42
31,2016/03/04,19:46,Taikos g. 4,,Važiuojamoje gatvės dalyje pastebėta plastmasinė dėžė.,Dėžė paimta ir išvežta.,2016/03/04,19:50
32,2016/03/04,19:53,Druskio g. 1,,Tepalų dėmė važiuojamoje gatvės dalyje.,Tepalai išvalyti. Sunaudota 3kg. Sauso sorbento.,2016/03/04,20:20
33,2016/03/04,20:17,Vytenio g. 14,,Atviras šulinys automobilių stovėjimo aikštelėje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/03/04,20:41
34,2016/03/04,20:33,Antakalnio g. 73,VPK,Buitinės šiukšlės važiuojamoje gatvės dalyje.,Šiukšlės surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,20:59
35,2016/03/04,20:57,Fabijoniškių g. 94,BPC,Sužeistas katinas ant šaligatvio.,Nurodytu adresu katino nepastebėta.,2016/03/04,21:20
36,2016/03/04,21:28,Gelvonų g. 7,,Važiuojamoje gatvės dalyje pastebėta lengvojo automobilio padanga.,Padanga paimta ir išvežta.,2016/03/04,21:33
37,2016/03/04,21:37,Širvintų g. 35,Policijos ekipažas,Plastmasinės nuolauos važiuojamoje gatvės dalyje.,Nuolaužos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,22:00
38,2016/03/04,21:53,Vinkšnų g. 6,BPC,Pilnas FN šulinys.,Informacija perduota.,,
39,2016/03/04,22:17,Kalvarijų g. 198,,Atviras šulinys žalioje vejoje.,Nurodytu adresu atvirų šulinių nepastebėta.,2016/03/04,22:43
40,2016/03/04,22:55,Gurių g. 51,VPK,"Autoįvykis. Duženos važiuojamoje gatvės dalyje,",Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,23:23
41,2016/03/04,0.034028,Parko g. 13,VPK,Buitinės šiukšlės važiuojamoje gatvės dalyje.,Šiukšlės surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,0.052083
42,2016/03/04,03:47,G. Vilko g. (Tarp tunelių),,Lengvojo automobilio padanga važiuojamoje gatvės dalyje.,Padanga paimta ir išvežta.,2016/03/04,04:15
43,2016/03/04,04:49,Liepkalnio g. (Kylant į kalną),BPC,Atviras šulinys važiuojamoje gatvės dalyje.,LN trapas. Uždengtas tomis pačiomis grotelėmis.,2016/03/04,05:18
44,2016/03/04,05:09,Gariūnų g. (Įvažiavimas į turgavietę),VPK,"Autoįvykis. Duženos važiuojamoje gatvės dalyje,",Duženos surinktos ir išvežtos. Gatvė išvalyta.,2016/03/04,05:45
45,2016/03/04,05:55,Oslo g. (Už pėsčiųjų viaduko),,Važiuojamoje gatvės dalyje pastebėta plastmasinė variklio apsauga.,Variklio apsauga paimta ir išvežta.,2016/03/04,06:01
